project_name,total_months_analyzed,avg_transition_rate,median_transition_rate,max_transition_rate,std_transition_rate,total_truly_new_core_added,avg_existing_core_count,final_ever_core_count,final_active_core_count,months_with_new_core,new_core_frequency,project_start_month,project_end_month,total_commits_analyzed,project_type
kubernetes-sigs/descheduler,92,0.031836611456176674,0.0,1.0,0.1265136619863762,10,6.434782608695652,11,9,10,0.10869565217391304,2017-08,2025-07,1898,OSS
KubeOperator/KubeOperator,56,0.04375,0.0,1.0,0.15864204354394199,6,5.767857142857143,7,5,6,0.10714285714285714,2018-12,2024-07,6432,OSS
vugu/vugu,41,0.036585365853658534,0.0,1.0,0.17285267941367818,2,1.5853658536585367,3,2,2,0.04878048780487805,2019-04,2025-04,609,OSS
Genymobile/scrcpy,87,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2018-01,2025-06,2851,OSS
netdata/netdata,134,0.019012982515997624,0.0,0.5,0.0640267281098637,18,10.164179104477611,20,15,18,0.13432835820895522,2013-07,2025-08,20721,OSS
redis/redis,197,0.01774166537155489,0.0,1.0,0.08832003848625193,18,5.121827411167513,19,19,18,0.09137055837563451,2009-04,2025-08,12694,OSS
ventoy/Ventoy,52,0.04391025641025641,0.0,1.0,0.16350027636688033,5,3.076923076923077,6,4,5,0.09615384615384616,2020-05,2025-07,1105,OSS
obsproject/obs-studio,141,0.026779845232294378,0.0,1.0,0.10361342397816806,24,11.929078014184396,25,22,24,0.1702127659574468,2013-11,2025-07,15041,OSS
avelino/awesome-go,133,0.03478731239438947,0.015544041450777202,0.2653061224489796,0.0511494996996268,1447,753.1203007518797,1465,1223,131,0.9849624060150376,2014-08,2025-08,5065,OSS
ollama/ollama,25,0.053158730158730155,0.0,0.3333333333333333,0.09555135320084943,7,6.0,10,10,7,0.28,2023-07,2025-07,4428,OSS
golang/go,210,0.02890139367261138,0.0,3.0,0.20863879382725292,75,34.89047619047619,76,73,69,0.32857142857142857,2008-03,2025-08,63540,OSS
kubernetes/kubernetes,134,0.032027901409441256,0.011628300037183518,0.8,0.08513184720649176,237,149.28358208955223,242,234,109,0.8134328358208955,2014-07,2025-08,131868,OSS
fatedier/frp,110,0.00909090909090909,0.0,1.0,0.09534625892455922,1,1.990909090909091,2,1,1,0.00909090909090909,2016-02,2025-07,1344,OSS
openfarmcc/OpenFarm,96,0.023218419312169312,0.0,1.0,0.1285189202832553,9,9.03125,11,6,6,0.0625,2013-11,2025-04,2945,OSS4SG
openfoodfacts/openfoodfacts-androidapp,111,0.03126015626015626,0.0,1.5,0.17498504863619138,11,10.126126126126126,12,4,8,0.07207207207207207,2015-06,2025-07,8708,OSS4SG
electricitymaps/electricitymaps-contrib,110,0.03728616489472239,0.0,1.0,0.11698409742856979,33,16.60909090909091,34,31,30,0.2727272727272727,2016-06,2025-08,6456,OSS4SG
onaio/onadata,166,0.0153478292599017,0.0,0.5,0.05797392154871337,18,13.156626506024097,20,17,18,0.10843373493975904,2010-11,2025-08,12474,OSS4SG
opendatateam/udata,133,0.017167919799498745,0.0,1.0,0.1038797027002768,5,3.142857142857143,6,6,5,0.03759398496240601,2014-06,2025-08,6719,OSS4SG
nordic-institute/X-Road,123,0.034172816852085314,0.0,1.0,0.12109070717707494,33,20.56910569105691,34,18,27,0.21951219512195122,2015-02,2025-08,13300,OSS4SG
sugarlabs/musicblocks,120,0.028662937688672983,0.0,1.0,0.11186798422390536,17,8.025,18,16,17,0.14166666666666666,2015-07,2025-07,9454,OSS4SG
openMF/android-client,99,0.0434740845275727,0.0,2.0,0.20798758917219407,24,13.252525252525253,25,22,21,0.21212121212121213,2014-03,2025-06,1408,OSS4SG
consuldemocracy/consuldemocracy,121,0.0182675786758764,0.0,0.6666666666666666,0.0737220540089485,18,15.669421487603305,21,14,15,0.12396694214876033,2015-08,2025-08,20423,OSS4SG
tidepool-org/uploader,130,0.02515290265290265,0.0,1.0,0.1282445163542645,12,11.423076923076923,13,4,11,0.08461538461538462,2014-07,2025-05,22210,OSS4SG
cboard-org/cboard,95,0.027293233082706765,0.0,1.0,0.12381478952168129,7,5.08421052631579,8,6,7,0.07368421052631578,2017-09,2025-08,4686,OSS4SG
instedd/planwise,42,0.05436507936507936,0.0,1.0,0.18074895089447002,5,5.071428571428571,6,5,5,0.11904761904761904,2016-06,2024-06,2119,OSS4SG
radiantearth/stac-browser,72,0.020833333333333332,0.0,1.0,0.13101714757140182,2,2.5,3,2,2,0.027777777777777776,2018-08,2025-07,1080,OSS4SG
openMF/community-app,132,0.030934916235048588,0.0,1.0,0.11616943794302173,30,23.272727272727273,31,28,27,0.20454545454545456,2013-06,2024-05,3504,OSS4SG
hotosm/tasking-manager,101,0.03181713142086783,0.0,0.6666666666666666,0.09009420063447496,33,19.485148514851485,35,27,28,0.27722772277227725,2017-03,2025-07,5997,OSS4SG
iHRIS/iHRIS,72,0.017824074074074072,0.0,0.5,0.0787880811315713,4,3.5416666666666665,6,5,4,0.05555555555555555,2019-05,2025-07,2030,OSS4SG
GFDRR/thinkhazard,54,0.04228395061728395,0.0,1.0,0.16060397544373844,5,4.555555555555555,6,4,5,0.09259259259259259,2015-04,2025-04,1639,OSS4SG
MuckRock/muckrock,186,0.005376344086021506,0.0,1.0,0.07332355751067664,1,1.6774193548387097,2,2,1,0.005376344086021506,2010-03,2025-08,12249,OSS4SG
muzima/muzima-android,128,0.027522545749797588,0.0,1.0,0.11777735860005697,17,12.9921875,18,12,16,0.125,2013-07,2024-10,3321,OSS4SG
OpenSourcePolitics/decidim,47,0.04638582457731394,0.0,0.5,0.1010560000008068,12,8.127659574468085,14,13,12,0.2553191489361702,2016-09,2020-07,3531,OSS4SG
llaske/sugarizer,136,0.02730985237899962,0.0,1.0,0.10731414794427445,22,10.816176470588236,23,20,19,0.13970588235294118,2013-12,2025-03,5711,OSS4SG
liberapay/liberapay.com,159,0.022312828032350202,0.0,1.0,0.09790537730540695,19,9.364779874213836,20,19,19,0.11949685534591195,2012-01,2025-07,20665,OSS4SG
HTBox/MobileKidsIdApp,29,0.2240284619594964,0.0,6.0,1.112405766968976,10,9.241379310344827,11,7,4,0.13793103448275862,2016-02,2024-05,813,OSS4SG
openmrs/openmrs-core,216,0.01728838662540204,0.0,1.0,0.08457355178047105,23,14.532407407407407,24,21,23,0.10648148148148148,2006-07,2025-08,12569,OSS4SG
insight-lane/crash-model,50,0.013357142857142859,0.0,0.4,0.06179500343053306,4,8.06,9,4,3,0.06,2017-03,2024-05,1922,OSS4SG
SFDigitalServices/sf-dahlia-web,118,0.032499115761827624,0.0,2.0,0.19550938190591818,14,6.593220338983051,15,11,12,0.1016949152542373,2015-10,2025-07,9632,OSS4SG
usetania/tania-core,35,0.10741496598639455,0.0,3.0,0.5072085317441538,7,5.914285714285715,8,6,5,0.14285714285714285,2017-12,2024-06,1221,OSS4SG
mapswipe/mapswipe,75,0.021238095238095236,0.0,0.5,0.08036805541042351,6,5.8933333333333335,8,5,6,0.08,2016-10,2025-07,2005,OSS4SG
public-accountability/littlesis-rails,133,0.007518796992481203,0.0,1.0,0.086710996952412,1,1.7518796992481203,2,2,1,0.007518796992481203,2013-10,2025-07,7764,OSS4SG
betagouv/aides-jeunes,136,0.022204980477039303,0.0,1.0,0.1050917016313884,11,6.889705882352941,12,11,11,0.08088235294117647,2014-04,2025-08,8287,OSS4SG
medic/cht-core,165,0.011084656084656083,0.0,0.5,0.0562818607373479,8,6.484848484848484,10,8,8,0.048484848484848485,2011-12,2025-08,24148,OSS4SG
Datawheel/canon,80,0.026041666666666664,0.0,1.0,0.1316572861583951,4,3.95,5,3,4,0.05,2017-03,2024-08,4926,OSS4SG
betagouv/api.gouv.fr,107,0.035066809849943766,0.0,1.0,0.11960670214148772,23,14.08411214953271,24,21,22,0.205607476635514,2016-03,2025-07,3717,OSS4SG
osm-search/Nominatim,173,0.010597302504816955,0.0,1.0,0.08832033145744848,3,2.861271676300578,4,2,3,0.017341040462427744,2010-11,2025-07,10368,OSS4SG
tidepool-org/viz,100,0.02083333333333333,0.0,1.0,0.11807412212884885,4,3.92,5,4,4,0.04,2016-08,2025-07,3674,OSS4SG
camicroscope/caMicroscope,120,0.026276755651755652,0.0,1.0,0.11702260400449158,12,7.741666666666666,13,12,11,0.09166666666666666,2012-07,2025-06,3297,OSS4SG
OpenRefine/OpenRefine,178,0.019323328778880662,0.0,1.0,0.0927100801694699,17,8.224719101123595,18,16,17,0.09550561797752809,2010-02,2025-07,8813,OSS4SG
enketo/enketo-express,111,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2014-06,2023-11,1777,OSS4SG
rubyforgood/human-essentials,100,0.04519301948643725,0.0,2.0,0.20261599551823703,64,35.78,66,55,46,0.46,2017-05,2025-08,6953,OSS4SG
ShelterTechSF/askdarcel-api,96,0.014830453111703112,0.0,0.25,0.046613720791335675,11,9.864583333333334,15,11,10,0.10416666666666667,2016-04,2025-07,790,OSS4SG
openml/OpenML,113,0.010500389482690367,0.0,0.25,0.04058301771476994,8,9.256637168141593,12,7,8,0.07079646017699115,2013-01,2025-06,2332,OSS4SG
OperationCode/front-end,71,0.04722222222222222,0.0,2.0,0.24478466583482308,9,7.788732394366197,10,9,7,0.09859154929577464,2018-07,2025-08,5019,OSS4SG
JustFixNYC/who-owns-what,89,0.02340823970037453,0.0,1.0,0.12499290639275316,4,3.292134831460674,5,5,4,0.0449438202247191,2017-08,2025-07,1129,OSS4SG
enketo/enketo-core,119,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2013-10,2023-11,2163,OSS4SG
dimagi/commcare-cloud,136,0.022564681284778787,0.0,0.5,0.07470082895210879,29,21.46323529411765,31,18,27,0.19852941176470587,2014-01,2025-08,22758,OSS4SG
opendatacube/datacube-core,123,0.025229355107403883,0.0,1.0,0.11978715834510174,11,7.056910569105691,12,9,10,0.08130081300813008,2015-04,2025-08,7268,OSS4SG
Bahmni/bahmni-core,130,0.039662735681420605,0.0,2.0,0.1879252387859171,51,35.853846153846156,52,45,41,0.3153846153846154,2012-05,2025-06,2787,OSS4SG
wevote/WeVoteServer,119,0.017507002801120445,0.0,1.0,0.10842236106099365,4,3.966386554621849,5,4,4,0.03361344537815126,2015-08,2025-07,6673,OSS4SG
SEED-platform/seed,130,0.022374387639033985,0.0,1.0,0.10085402050572584,21,17.523076923076925,23,12,18,0.13846153846153847,2014-11,2025-08,11409,OSS4SG
radiantearth/stac-spec,72,0.04935014830848164,0.0,2.0,0.24393785118973688,11,9.166666666666666,12,6,9,0.125,2017-06,2024-09,3222,OSS4SG
LoopKit/LoopKit,99,0.018518518518518517,0.0,1.0,0.11637204998900937,3,2.707070707070707,4,4,3,0.030303030303030304,2015-09,2024-10,1665,OSS4SG
NREL/EnergyPlus,136,0.03351119664305885,0.0,2.0,0.1827616837975516,29,22.36764705882353,30,20,25,0.18382352941176472,2014-04,2025-07,40669,OSS4SG
nvaccess/nvda,228,0.008859111161742742,0.0,0.5,0.04877972948888984,10,8.289473684210526,12,8,10,0.043859649122807015,2006-09,2025-08,24676,OSS4SG
dimagi/commcare-android,174,0.018276630776630776,0.0,1.0,0.09351120200341416,13,8.988505747126437,14,11,13,0.07471264367816093,2010-07,2025-07,15640,OSS4SG
avniproject/avni-server,109,0.027705296741993988,0.0,1.0,0.11683977617408087,11,7.706422018348624,12,8,11,0.10091743119266056,2016-05,2025-07,4860,OSS4SG
mysociety/alaveteli,216,0.01356003821281599,0.0,1.0,0.08380627743925913,10,6.888888888888889,11,8,10,0.046296296296296294,2007-09,2025-08,20339,OSS4SG
chaynHQ/soulmedicine,39,0.060683760683760676,0.0,1.0,0.20460656796232451,5,4.743589743589744,6,5,4,0.10256410256410256,2018-11,2025-07,1517,OSS4SG
dimagi/commcare-hq,197,0.01598559579389753,0.0,0.5,0.054005768042873784,34,21.604060913705585,36,26,33,0.16751269035532995,2009-04,2025-08,189981,OSS4SG
resource-watch/resource-watch,65,0.04282051282051282,0.0,2.0,0.25293364218788167,5,4.892307692307693,6,5,4,0.06153846153846154,2017-06,2024-05,8667,OSS4SG
opencrvs/opencrvs-core,92,0.04016694244307315,0.0,1.0,0.13249505722518065,21,14.271739130434783,22,20,20,0.21739130434782608,2017-07,2025-08,19494,OSS4SG
JustFixNYC/tenants2,68,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2018-09,2025-07,3048,OSS4SG
opensrp/opensrp-client-core,67,0.03278841651086464,0.0,0.6666666666666666,0.09396622481973917,18,14.791044776119403,21,16,15,0.22388059701492538,2017-08,2023-08,4128,OSS4SG
getodk/collect,188,0.018930057277951027,0.0,1.0,0.09114045786127105,19,11.893617021276595,20,5,18,0.09574468085106383,2009-05,2025-07,16755,OSS4SG
openstreetmap/openstreetmap-website,226,0.015544093898466622,0.0,1.0,0.08384872063817858,18,13.738938053097344,19,9,17,0.0752212389380531,2006-08,2025-08,17250,OSS4SG
OneBusAway/onebusaway-android,150,0.013888888888888886,0.0,1.0,0.09674833907409895,4,2.9266666666666667,5,4,4,0.02666666666666667,2009-08,2025-07,2659,OSS4SG
unicef/etools,139,0.024143542309009936,0.0,1.0,0.10750237098859217,15,11.323741007194245,16,9,12,0.08633093525179857,2014-01,2025-07,20139,OSS4SG
dhis2/dhis2-core,108,0.017630501073050416,0.0,0.6,0.06382340476939824,23,19.90740740740741,28,19,20,0.18518518518518517,2016-09,2025-08,13982,OSS4SG
CenterForOpenScience/SHARE,92,0.03293219461697723,0.0,2.0,0.21409021237400672,13,13.173913043478262,15,5,6,0.06521739130434782,2014-07,2025-07,3373,OSS4SG
learningequality/kolibri,115,0.025069531020870367,0.0,1.0,0.10937954379870465,20,14.556521739130435,22,18,16,0.1391304347826087,2016-02,2025-08,33739,OSS4SG
scratchfoundation/scratch-vm,107,0.02384119281308309,0.0,0.5,0.07138378748066562,18,14.682242990654206,20,10,17,0.1588785046728972,2016-05,2025-07,9331,OSS4SG
azavea/raster-vision,95,0.021929824561403504,0.0,1.0,0.12107338976256402,4,3.2526315789473683,5,4,4,0.042105263157894736,2017-03,2025-04,3637,OSS4SG
mysociety/fixmystreet,223,0.00820165136308634,0.0,0.5,0.04861909178971248,8,6.5874439461883405,10,8,8,0.03587443946188341,2006-10,2025-07,15405,OSS4SG
openMF/web-app,75,0.038321892512496895,0.0,0.5,0.08578925094544013,25,13.986666666666666,27,24,22,0.29333333333333333,2018-06,2025-07,1525,OSS4SG
openoakland/openbudgetoakland,63,0.036243386243386244,0.0,1.0,0.1492375989978955,5,3.6031746031746033,6,5,5,0.07936507936507936,2013-02,2022-03,1000,OSS4SG
sugarlabs/turtleart-activity,127,0.01141732283464567,0.0,0.5,0.06138828870645255,5,6.283464566929134,7,2,5,0.03937007874015748,2007-07,2025-07,4041,OSS4SG
unep-grid/mapx,95,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2017-04,2025-05,3865,OSS4SG
5calls/ios,51,0.09305166511048865,0.0,4.0,0.5599029806794007,9,8.0,10,7,6,0.11764705882352941,2017-02,2025-07,799,OSS4SG
kobotoolbox/kobocat,167,0.013881610737898165,0.0,0.5,0.0574697160145516,14,11.592814371257486,16,13,14,0.08383233532934131,2010-11,2024-09,10291,OSS4SG
mosip/commons,66,0.03630876363962514,0.0,1.1333333333333333,0.1505395616728706,86,93.53030303030303,101,79,16,0.24242424242424243,2018-10,2025-01,28244,OSS4SG
openstates/openstates-scrapers,197,0.021042429973414867,0.0,2.0,0.1474477146581312,21,14.081218274111675,22,15,20,0.10152284263959391,2009-03,2025-07,43152,OSS4SG
code4romania/seismic-risc,43,0.06519291192323808,0.0,1.0,0.17592960415036882,18,13.488372093023257,20,11,14,0.32558139534883723,2019-08,2024-04,512,OSS4SG
catalyst-cooperative/pudl,104,0.032180773286542515,0.0,1.0,0.14285847642354552,13,8.298076923076923,14,9,12,0.11538461538461539,2016-12,2025-08,10673,OSS4SG
digidem/mapeo-desktop,73,0.03127853881278539,0.0,1.0,0.13905393542025324,5,4.191780821917808,6,5,5,0.0684931506849315,2016-03,2023-08,1374,OSS4SG
openMF/mifos-mobile,90,0.03762257813652709,0.0,0.5,0.09852373158358585,38,19.6,40,27,28,0.3111111111111111,2016-07,2025-08,1627,OSS4SG
ushahidi/platform,144,0.020971370450537118,0.0,1.0,0.10223725414982962,11,6.763888888888889,12,10,11,0.0763888888888889,2012-11,2025-02,7236,OSS4SG
code4romania/redirectioneaza,62,0.022779057859703022,0.0,0.6666666666666666,0.09307410804822924,7,6.290322580645161,10,5,6,0.0967741935483871,2015-08,2025-07,1319,OSS4SG
rapidpro/ureport,127,0.016404199475065617,0.0,1.0,0.1050107967063636,4,4.6141732283464565,5,2,4,0.031496062992125984,2014-10,2025-06,4577,OSS4SG
WildMeOrg/Wildbook,182,0.011556102627531201,0.0,0.5,0.0546547031320639,11,7.769230769230769,13,11,11,0.06043956043956044,2010-06,2025-07,14111,OSS4SG
farmOS/farmOS,138,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2014-02,2025-07,8748,OSS4SG
openmrs/openmrs-contrib-android-client,86,0.04153496577222187,0.0,1.0,0.13309950795210201,19,11.19767441860465,20,19,17,0.19767441860465115,2014-09,2023-08,1341,OSS4SG
scratchfoundation/scratch-gui,107,0.03164010185038222,0.0,1.0,0.1184845716659501,16,13.355140186915888,17,10,15,0.14018691588785046,2016-10,2025-08,13102,OSS4SG
radicallyopensecurity/pentext,79,0.028481012658227847,0.0,1.0,0.16006479943908408,4,4.772151898734177,5,3,3,0.0379746835443038,2016-07,2025-03,953,OSS4SG
OpenLMIS/openlmis-ref-distro,87,0.04967038735667579,0.0,1.3333333333333333,0.18539554381636658,28,18.82758620689655,29,25,22,0.25287356321839083,2016-07,2025-04,1096,OSS4SG
marytts/marytts,157,0.009235668789808917,0.0,0.5,0.05535417253999559,5,6.057324840764331,7,6,5,0.03184713375796178,2006-03,2025-01,4394,OSS4SG
Terrastories/terrastories,56,0.12178549479692767,0.0,5.0,0.6675497076111973,31,23.482142857142858,32,29,18,0.32142857142857145,2018-06,2024-04,979,OSS4SG
tidepool-org/blip,138,0.023090898634376893,0.0,1.0,0.12449433247443048,11,9.05072463768116,12,6,10,0.07246376811594203,2014-02,2025-07,11756,OSS4SG
OpenUpSA/pmg-cms-2,109,0.023787680209698556,0.0,1.0,0.11587505226378128,7,5.146788990825688,8,8,7,0.06422018348623854,2014-07,2025-07,3912,OSS4SG
h5p/h5p-interactive-video,138,0.021224407637451117,0.0,1.0,0.10420369282538147,10,7.695652173913044,11,10,10,0.07246376811594203,2013-06,2025-07,2324,OSS4SG
ClimateWatch-Vizzuality/climate-watch,86,0.027288376997679328,0.0,1.0,0.11610047942469297,12,11.616279069767442,14,12,11,0.12790697674418605,2017-08,2025-06,9287,OSS4SG
wri/gfw,155,0.020089415165514064,0.0,1.0,0.08960661924242755,27,18.81290322580645,29,19,24,0.15483870967741936,2012-06,2025-07,27800,OSS4SG
VOLTTRON/volttron,125,0.018193172668404867,0.0,0.6666666666666666,0.06838908639926153,20,17.416,23,18,19,0.152,2014-05,2025-05,11288,OSS4SG
Recidiviz/pulse-data,90,0.04410664417217,0.0,1.6666666666666667,0.18254230966502483,44,22.033333333333335,46,36,39,0.43333333333333335,2017-11,2025-07,17383,OSS4SG
Growstuff/growstuff,145,0.014628053938398765,0.0,0.5,0.06344009826223862,11,10.16551724137931,13,7,10,0.06896551724137931,2012-09,2025-07,11237,OSS4SG
mapswipe/python-mapswipe-workers,80,0.04948922605172605,0.0,2.0,0.24089960012884118,15,9.9125,16,13,11,0.1375,2018-03,2025-07,3390,OSS4SG
OADA/server,94,0.011626139817629179,0.0,0.3333333333333333,0.05175327554026605,5,6.9787234042553195,8,3,5,0.05319148936170213,2017-05,2025-06,1566,OSS4SG
sozialhelden/accessibility-cloud,60,0.026944444444444444,0.0,1.0,0.13571640375183866,5,6.133333333333334,7,3,4,0.06666666666666667,2016-07,2024-06,1283,OSS4SG
rightoneducation/righton-app,72,0.03402777777777778,0.0,1.0,0.14082357523768171,6,3.4305555555555554,7,5,6,0.08333333333333333,2019-01,2025-07,11154,OSS4SG
osm2pgsql-dev/osm2pgsql,221,0.0113067174153147,0.0,0.5,0.05094108238593841,17,14.692307692307692,19,5,16,0.07239819004524888,2006-12,2025-07,4622,OSS4SG
primeroIMS/primero,184,0.036820373950043735,0.0,4.0,0.29688669464559614,67,54.58695652173913,68,13,46,0.25,2010-02,2025-07,28879,OSS4SG
ifmeorg/ifme,123,0.039390259275672586,0.0,1.0,0.11602592761236645,65,40.260162601626014,66,64,38,0.3089430894308943,2014-05,2025-07,3767,OSS4SG
sozialhelden/wheelmap-frontend,90,0.023148148148148143,0.0,1.0,0.12431320549905778,4,4.433333333333334,5,3,4,0.044444444444444446,2017-04,2025-06,6846,OSS4SG
NREL/OpenStudio-server,136,0.025213001867413633,0.0,2.0,0.17666274939422133,10,8.044117647058824,11,7,9,0.0661764705882353,2013-07,2025-06,5514,OSS4SG
avniproject/avni-client,112,0.01803461915069058,0.0,0.5,0.06855026927293412,10,8.785714285714286,12,8,10,0.08928571428571429,2016-04,2025-07,5960,OSS4SG
RefugeRestrooms/refugerestrooms,72,0.05222830652558465,0.0,1.0,0.16961280034943285,19,16.958333333333332,20,18,14,0.19444444444444445,2013-12,2024-05,1242,OSS4SG
jembi/openhim-core-js,99,0.046113664674270735,0.0,3.0,0.30402595175261826,16,12.434343434343434,17,14,13,0.13131313131313133,2014-03,2024-12,3767,OSS4SG
publiclab/plots2,122,0.034586257895988945,0.0,0.5,0.0736944997807149,95,23.672131147540984,97,96,50,0.4098360655737705,2012-10,2023-01,6750,OSS4SG
CenterForOpenScience/osf.io,146,0.02208346656306585,0.0,1.0,0.09617485851699965,29,25.993150684931507,31,21,22,0.1506849315068493,2013-06,2025-07,55637,OSS4SG
open-contracting/standard,119,0.016209817260237427,0.0,0.5,0.06628773362695085,9,7.5966386554621845,11,7,9,0.07563025210084033,2014-07,2025-07,4059,OSS4SG
OpenEnergyDashboard/OED,98,0.04638908590075804,0.0,1.0,0.14590118955207584,44,18.43877551020408,45,44,36,0.3673469387755102,2016-10,2025-08,6766,OSS4SG
kobotoolbox/kpi,126,0.0292074107550298,0.0,2.0,0.18359535113862932,13,8.507936507936508,14,12,12,0.09523809523809523,2015-03,2025-08,18693,OSS4SG
OptiKey/OptiKey,107,0.019470404984423675,0.0,1.0,0.11422618109307987,4,3.317757009345794,5,5,4,0.037383177570093455,2014-08,2024-08,3810,OSS4SG
openfoodfoundation/openfoodnetwork,161,0.022689033927568242,0.0,1.0,0.09789657194085294,21,12.304347826086957,22,19,20,0.12422360248447205,2012-04,2025-08,33930,OSS4SG
ctt-gob-es/clienteafirma,164,0.006605691056910569,0.0,0.5,0.050546397673702594,3,4.469512195121951,5,4,3,0.018292682926829267,2011-05,2025-07,7056,OSS4SG
WattTime/pyiso,47,0.04432624113475177,0.0,1.0,0.17011918938188675,4,2.6382978723404253,5,4,4,0.0851063829787234,2014-03,2022-08,1003,OSS4SG
ShelterTechSF/askdarcel-web,102,0.026812702547996663,0.0,1.5,0.1519998445968879,14,12.411764705882353,16,11,12,0.11764705882352941,2016-05,2025-07,1651,OSS4SG
sugarlabs/sugar,194,0.010841292155725145,0.0,0.5,0.05300186315003488,11,8.190721649484535,13,12,11,0.05670103092783505,2006-05,2025-06,7984,OSS4SG
instedd/surveda,93,0.012647209421402971,0.0,0.6666666666666666,0.07501846571342688,5,7.709677419354839,8,8,4,0.043010752688172046,2016-09,2025-04,3544,OSS4SG
apache/fineract,160,0.026656727908315518,0.0,1.0,0.09816476999902252,39,16.23125,40,39,35,0.21875,2012-05,2025-08,8820,OSS4SG
openstreetmap/iD,152,0.01926952798663325,0.0,1.0,0.09944641125461551,10,7.296052631578948,11,8,10,0.06578947368421052,2012-10,2025-07,16397,OSS4SG
owid/owid-grapher,123,0.023812750032262225,0.0,1.0,0.11014226799478831,10,4.715447154471545,11,10,10,0.08130081300813008,2015-06,2025-08,20634,OSS4SG
Flowminder/FlowKit,80,0.014112103174603175,0.0,0.4,0.057911622518664656,7,9.7375,11,7,6,0.075,2018-12,2025-08,13825,OSS4SG
synthetichealth/synthea,108,0.026209964491483235,0.0,1.0,0.10627590541659865,20,17.27777777777778,22,10,17,0.1574074074074074,2016-05,2025-07,4880,OSS4SG
tidepool-org/platform,113,0.009587020648967551,0.0,0.5,0.06074134065817894,3,3.398230088495575,5,4,3,0.02654867256637168,2016-01,2025-08,1958,OSS4SG
Intelehealth/intelehealth-fhw-mobileapp,40,0.06794642857142856,0.0,1.0,0.18555207755607872,8,4.925,9,9,8,0.2,2019-05,2024-01,1030,OSS4SG
magma/magma,67,0.030345487443279154,0.015873015873015872,0.6,0.07766513450171286,54,46.52238805970149,64,59,34,0.5074626865671642,2019-03,2025-04,12229,OSS4SG
rapidpro/rapidpro,100,0.008333333333333333,0.0,0.5,0.05981171354710612,2,3.93,4,4,2,0.02,2015-01,2025-07,23404,OSS4SG
code-dot-org/blockly,84,0.016813114134542704,0.0,0.6666666666666666,0.08042476666434398,7,8.119047619047619,10,8,6,0.07142857142857142,2014-10,2024-02,2342,OSS4SG
tidepool-org/tideline,105,0.021746031746031746,0.0,1.0,0.11660080122257674,5,4.238095238095238,6,5,5,0.047619047619047616,2014-02,2025-07,3180,OSS4SG
huridocs/uwazi,117,0.02034811105323926,0.0,0.5,0.06796951620871952,15,10.598290598290598,17,16,15,0.1282051282051282,2015-12,2025-08,20012,OSS4SG
OperationCode/resources_api,34,0.06898926237161532,0.0,1.5,0.25903860699082903,9,8.647058823529411,11,10,7,0.20588235294117646,2018-09,2022-07,603,OSS4SG
demarches-simplifiees/demarches-simplifiees.fr,120,0.029171688197423492,0.0,1.0,0.11232546170080646,18,10.416666666666666,19,13,17,0.14166666666666666,2015-09,2025-08,26217,OSS4SG
ConservationInternational/trends.earth,89,0.011235955056179775,0.0,1.0,0.10599978800063599,1,1.0898876404494382,2,2,1,0.011235955056179775,2017-06,2025-08,3797,OSS4SG
healthsites/healthsites,64,0.02488839285714286,0.0,0.5,0.08657077092214742,6,6.3125,8,6,6,0.09375,2014-11,2025-07,1681,OSS4SG
foodcoops/foodsoft,154,0.014826839826839825,0.0,1.0,0.09666857650265144,5,4.8311688311688314,6,5,5,0.032467532467532464,2009-02,2025-07,2572,OSS4SG
oppia/oppia,153,0.03457639259667866,0.010869565217391304,1.0,0.1005899790954885,107,44.30718954248366,108,105,84,0.5490196078431373,2012-12,2025-08,16216,OSS4SG
instedd/verboice,103,0.022168284789644013,0.0,1.0,0.11769824858793591,5,5.067961165048544,6,6,5,0.04854368932038835,2011-04,2025-02,2455,OSS4SG
okfde/froide,163,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2011-05,2025-08,7467,OSS4SG
coralproject/talk,85,0.02465452847805789,0.0,1.0,0.11634256321133556,9,8.011764705882353,11,7,8,0.09411764705882353,2018-07,2025-07,5145,OSS4SG
Sunbird-Obsrv/sunbird-data-pipeline,89,0.04117456562755202,0.0,1.0,0.1302294905635925,21,12.415730337078651,22,14,18,0.20224719101123595,2015-05,2023-01,6674,OSS4SG
scratchfoundation/scratch-www,119,0.018454774615179952,0.0,0.3333333333333333,0.052212868547143756,20,15.453781512605042,23,15,18,0.15126050420168066,2015-10,2025-08,15647,OSS4SG
OpenBankProject/OBP-API,159,0.018992939275958142,0.0,1.0,0.09745741838558022,11,8.836477987421384,12,6,11,0.06918238993710692,2011-11,2025-08,14024,OSS4SG
code-dot-org/code-dot-org,131,0.01198210940588781,0.0,0.125,0.023638291412391186,36,30.801526717557252,46,39,35,0.26717557251908397,2014-10,2025-08,200438,OSS4SG
