project_name,meets_criteria,contributors_count,commits_count,closed_prs_count,age_years,days_since_update,contributors_check,commits_check,prs_check,age_check,recent_update,error
openoakland/openbudgetoakland,True,21,46478,150,12.51,176,True,True,True,True,True,
sugarlabs/turtleart-activity,True,60,95178,72,11.3,2,True,True,True,True,True,
unep-grid/mapx,True,12,225264,169,8.21,83,True,True,True,True,True,
5calls/ios,True,29,280944,256,8.5,16,True,True,True,True,True,
kobotoolbox/kobocat,True,60,56748,525,11.7,33,True,True,True,True,True,
mosip/commons,True,150,434092,1552,5.54,113,True,True,True,True,True,
openstates/openstates-scrapers,True,180,64808,3892,16.42,0,True,True,True,True,True,
code4romania/seismic-risc,True,60,33174,822,6.01,161,True,True,True,True,True,
catalyst-cooperative/pudl,True,60,934656,2067,8.49,0,True,True,True,True,True,
digidem/mapeo-desktop,True,21,71894,322,9.43,85,True,True,True,True,True,
openMF/mifos-mobile,True,120,154652,1832,9.18,-1,True,True,True,True,True,
ushahidi/platform,True,90,97100,1273,12.81,8,True,True,True,True,True,
code4romania/redirectioneaza,True,17,28502,445,7.38,16,True,True,True,True,True,
rapidpro/ureport,True,24,101364,1201,10.89,43,True,True,True,True,True,
WildMeOrg/Wildbook,True,60,1772052,766,9.05,7,True,True,True,True,True,
farmOS/farmOS,True,60,93110,515,11.49,1,True,True,True,True,True,
openmrs/openmrs-contrib-android-client,True,90,208498,1021,11.01,1,True,True,True,True,True,
scratchfoundation/scratch-gui,True,90,5021118,6581,8.87,1,True,True,True,True,True,
radicallyopensecurity/pentext,True,13,13842,107,9.16,28,True,True,True,True,True,
OpenLMIS/openlmis-ref-distro,True,60,42844,127,8.45,58,True,True,True,True,True,
marytts/marytts,True,60,299928,262,13.61,2,True,True,True,True,True,
Terrastories/terrastories,True,90,375422,557,7.2,2,True,True,True,True,True,
tidepool-org/blip,True,60,139178,1647,11.54,5,True,True,True,True,True,
OpenUpSA/pmg-cms-2,True,17,310952,576,10.88,4,True,True,True,True,True,
h5p/h5p-interactive-video,True,90,9604,255,11.34,1,True,True,True,True,True,
ClimateWatch-Vizzuality/climate-watch,True,60,134238,1744,8.02,43,True,True,True,True,True,
wri/gfw,True,90,774108,4767,13.2,0,True,True,True,True,True,
VOLTTRON/volttron,True,90,312336,1644,11.73,1,True,True,True,True,True,
Recidiviz/pulse-data,True,150,365542,144,6.36,15,True,True,True,True,True,
