project_name,project_type,total_contributors,core_contributors,core_ratio,core_percentage_actual,one_time_contributors,one_time_ratio,gini_coefficient,bus_factor,active_contributors,active_ratio,casual_contributors,regular_contributors,heavy_contributors,total_commits,core_commits,commits_per_contributor
dbeaver/dbeaver,OSS,446,7,0.01569506726457399,0.8039287279100336,243,0.5448430493273543,0.9574108918769701,2,28,0.06278026905829596,142,41,20,27388,22018,61.408071748878925
termux/termux-app,OSS,92,3,0.03260869565217391,0.8172623061362104,49,0.532608695652174,0.8918393972265384,2,2,0.021739130434782608,37,4,2,1483,1212,16.119565217391305
jeecgboot/JeecgBoot,OSS,31,3,0.0967741935483871,0.9248853211009175,17,0.5483870967741935,0.8939035217519977,2,3,0.0967741935483871,9,2,3,1744,1613,56.25806451612903
Snailclimb/JavaGuide,OSS,700,31,0.04428571428571428,0.8011615989067304,452,0.6457142857142857,0.8486295085167652,4,16,0.022857142857142857,215,26,7,5854,4690,8.362857142857143
doocs/advanced-java,OSS,53,3,0.05660377358490566,0.8041237113402062,30,0.5660377358490566,0.8670005835440575,2,2,0.03773584905660377,17,4,2,776,624,14.641509433962264
spring-projects/spring-boot,OSS,1423,5,0.0035137034434293743,0.8179879511648984,1027,0.7217146872803936,0.9675328956287021,2,38,0.026704146170063246,335,43,18,56271,46029,39.543921293042864
MisterBooo/LeetCodeAnimation,OSS,24,8,0.3333333333333333,0.8211382113821138,7,0.2916666666666667,0.6534552845528454,3,1,0.041666666666666664,12,5,0,246,202,10.25
elastic/elasticsearch,OSS,2244,73,0.03253119429590018,0.8005182812977402,1331,0.5931372549019608,0.9345109296904011,23,175,0.07798573975044563,626,168,119,88369,70741,39.3801247771836
planetscale/vtprotobuf,OSS,30,9,0.3,0.8194444444444444,10,0.3333333333333333,0.6577160493827159,3,3,0.1,16,4,0,216,177,7.2
projectdiscovery/tlsx,OSS,25,3,0.12,0.8490566037735849,12,0.48,0.8725322740814299,1,5,0.2,6,6,1,1007,855,40.28
trpc-group/trpc-go,OSS,19,4,0.21052631578947367,0.8711656441717791,10,0.5263157894736842,0.7432999677106877,2,3,0.15789473684210525,5,4,0,163,142,8.578947368421053
tinkerbell/tink,OSS,60,8,0.13333333333333333,0.8012295081967213,21,0.35,0.8190403005464482,4,1,0.016666666666666666,21,12,6,1952,1564,32.53333333333333
juruen/rmapi,OSS,34,2,0.058823529411764705,0.8168103448275862,25,0.7352941176470589,0.8605476673427992,2,1,0.029411764705882353,5,2,2,464,379,13.647058823529411
trustwallet/assets,OSS,4171,1140,0.27331575161831695,0.8,3280,0.7863821625509471,0.7070442951801257,10,23,0.005514265164229201,834,43,14,15157,12124,3.633900743227044
travisjeffery/jocko,OSS,22,1,0.045454545454545456,0.9191729323308271,12,0.5454545454545454,0.9025974025974026,1,1,0.045454545454545456,9,0,1,532,489,24.181818181818183
kubernetes-sigs/descheduler,OSS,171,9,0.05263157894736842,0.8066385669125395,102,0.5964912280701754,0.8611342194615448,3,7,0.04093567251461988,54,9,6,1898,1531,11.099415204678362
KubeOperator/KubeOperator,OSS,33,5,0.15151515151515152,0.8370646766169154,9,0.2727272727272727,0.8309117292326247,2,1,0.030303030303030304,8,8,8,6432,5384,194.9090909090909
vugu/vugu,OSS,25,2,0.08,0.8604269293924466,11,0.44,0.860295566502463,1,3,0.12,10,2,2,609,524,24.36
Genymobile/scrcpy,OSS,162,1,0.006172839506172839,0.895826025955805,119,0.7345679012345679,0.9317306901195594,1,6,0.037037037037037035,40,2,1,2851,2554,17.598765432098766
netdata/netdata,OSS,681,15,0.022026431718061675,0.8107716809034313,413,0.6064610866372981,0.9378589088045561,4,24,0.03524229074889868,195,49,24,20721,16800,30.427312775330396
redis/redis,OSS,865,19,0.021965317919075144,0.8043957775326926,545,0.630057803468208,0.9050575074838505,2,36,0.04161849710982659,258,49,13,12694,10211,14.67514450867052
ventoy/Ventoy,OSS,122,4,0.03278688524590164,0.8009049773755657,79,0.6475409836065574,0.8574660633484164,1,2,0.01639344262295082,39,3,1,1105,885,9.057377049180328
obsproject/obs-studio,OSS,761,22,0.02890932982917214,0.800877601223323,451,0.5926412614980289,0.9116747119852255,5,25,0.0328515111695138,230,56,24,15041,12046,19.76478318002628
avelino/awesome-go,OSS,2236,1223,0.5469588550983899,0.8,1587,0.7097495527728086,0.5082783386635632,217,30,0.013416815742397137,626,19,4,5065,4052,2.26520572450805
ollama/ollama,OSS,512,10,0.01953125,0.8003613369467028,417,0.814453125,0.8684984050361337,3,44,0.0859375,76,12,7,4428,3544,8.6484375
golang/go,OSS,2722,73,0.026818515797207936,0.8006137865911237,1558,0.5723732549595886,0.9203588799640694,14,97,0.035635562086700955,845,242,77,63540,50871,23.34313005143277
kubernetes/kubernetes,OSS,4966,234,0.04712041884816754,0.8004368004368004,2168,0.43656866693515906,0.9027426509974503,23,203,0.04087797019734193,1913,710,175,131868,105552,26.554168344744262
fatedier/frp,OSS,137,1,0.0072992700729927005,0.8139880952380952,100,0.7299270072992701,0.87983359402155,1,4,0.029197080291970802,33,3,1,1344,1094,9.81021897810219
openfarmcc/OpenFarm,OSS4SG,71,6,0.08450704225352113,0.8298811544991511,22,0.30985915492957744,0.8814749276644587,2,1,0.014084507042253521,36,7,6,2945,2444,41.478873239436616
openfoodfacts/openfoodfacts-androidapp,OSS4SG,167,4,0.023952095808383235,0.805351401010565,63,0.3772455089820359,0.9276100990485727,1,1,0.005988023952095809,68,30,6,8708,7013,52.1437125748503
electricitymaps/electricitymaps-contrib,OSS4SG,435,31,0.07126436781609195,0.8004956629491945,225,0.5172413793103449,0.8663340882223078,5,33,0.07586206896551724,151,48,11,6456,5168,14.841379310344827
onaio/onadata,OSS4SG,97,17,0.17525773195876287,0.8105659772326439,17,0.17525773195876287,0.7990872561319298,5,4,0.041237113402061855,20,34,26,12474,10111,128.5979381443299
opendatateam/udata,OSS4SG,64,6,0.09375,0.8279505878851019,17,0.265625,0.8848577727340379,1,9,0.140625,21,17,9,6719,5563,104.984375
nordic-institute/X-Road,OSS4SG,103,18,0.17475728155339806,0.806390977443609,10,0.0970873786407767,0.7904576976421636,7,14,0.13592233009708737,38,29,26,13300,10725,129.126213592233
sugarlabs/musicblocks,OSS4SG,332,16,0.04819277108433735,0.8062195895917073,153,0.4608433734939759,0.9084603699332978,1,14,0.04216867469879518,107,65,7,9454,7622,28.47590361445783
openMF/android-client,OSS4SG,126,22,0.1746031746031746,0.8061079545454546,46,0.36507936507936506,0.7813965548340549,4,5,0.03968253968253968,60,17,3,1408,1135,11.174603174603174
consuldemocracy/consuldemocracy,OSS4SG,191,14,0.07329842931937172,0.8075698966851099,66,0.34554973821989526,0.9026969644377438,5,6,0.031413612565445025,71,27,27,20423,16493,106.92670157068063
tidepool-org/uploader,OSS4SG,50,4,0.08,0.8106258442143178,0,0.0,0.8845943268797838,1,2,0.04,13,23,14,22210,18004,444.2
cboard-org/cboard,OSS4SG,91,6,0.06593406593406594,0.831839521980367,40,0.43956043956043955,0.9089033032695004,2,9,0.0989010989010989,31,13,7,4686,3898,51.494505494505496
instedd/planwise,OSS4SG,23,5,0.21739130434782608,0.8433223218499292,3,0.13043478260869565,0.7652502205716396,2,3,0.13043478260869565,9,6,5,2119,1787,92.1304347826087
radiantearth/stac-browser,OSS4SG,44,2,0.045454545454545456,0.8907407407407407,29,0.6590909090909091,0.9156986531986533,1,7,0.1590909090909091,10,3,2,1080,962,24.545454545454547
openMF/community-app,OSS4SG,231,28,0.12121212121212122,0.8033675799086758,88,0.38095238095238093,0.8260145486172883,6,1,0.004329004329004329,102,35,6,3504,2815,15.168831168831169
hotosm/tasking-manager,OSS4SG,154,27,0.17532467532467533,0.8015674503918626,43,0.2792207792207792,0.7814697391986036,10,11,0.07142857142857142,49,45,17,5997,4807,38.94155844155844
iHRIS/iHRIS,OSS4SG,17,5,0.29411764705882354,0.8384236453201971,0,0.0,0.6703564184294408,3,1,0.058823529411764705,5,6,6,2030,1702,119.41176470588235
GFDRR/thinkhazard,OSS4SG,16,4,0.25,0.801098230628432,0,0.0,0.6865848078096399,2,2,0.125,5,6,5,1639,1313,102.4375
MuckRock/muckrock,OSS4SG,26,2,0.07692307692307693,0.9639154216670749,12,0.46153846153846156,0.9213279576982736,1,5,0.19230769230769232,6,4,4,12249,11807,471.11538461538464
muzima/muzima-android,OSS4SG,46,12,0.2608695652173913,0.8042758205359831,6,0.13043478260869565,0.7059358757838785,5,5,0.10869565217391304,11,19,10,3321,2671,72.19565217391305
OpenSourcePolitics/decidim,OSS4SG,89,13,0.14606741573033707,0.806287170773152,24,0.2696629213483146,0.8161039142872599,5,20,0.2247191011235955,36,21,8,3531,2847,39.674157303370784
llaske/sugarizer,OSS4SG,190,20,0.10526315789473684,0.8056382419891438,56,0.29473684210526313,0.8607627017113788,2,7,0.03684210526315789,85,43,6,5711,4601,30.057894736842105
liberapay/liberapay.com,OSS4SG,689,19,0.027576197387518143,0.8005806919912897,345,0.5007256894049347,0.9260400816536658,2,36,0.05224963715529753,237,88,19,20665,16544,29.99274310595065
HTBox/MobileKidsIdApp,OSS4SG,36,7,0.19444444444444445,0.8093480934809348,11,0.3055555555555556,0.7817753177531777,1,1,0.027777777777777776,14,10,1,813,658,22.583333333333332
openmrs/openmrs-core,OSS4SG,519,21,0.04046242774566474,0.803962129047657,206,0.3969171483622351,0.8991737478099695,5,22,0.04238921001926782,245,49,19,12569,10105,24.217726396917147
insight-lane/crash-model,OSS4SG,28,4,0.14285714285714285,0.8215400624349636,9,0.32142857142857145,0.8277092314553292,2,2,0.07142857142857142,10,4,5,1922,1579,68.64285714285714
SFDigitalServices/sf-dahlia-web,OSS4SG,48,11,0.22916666666666666,0.8023255813953488,0,0.0,0.7591362126245849,3,9,0.1875,14,15,19,9632,7728,200.66666666666666
usetania/tania-core,OSS4SG,23,6,0.2608695652173913,0.8271908271908271,8,0.34782608695652173,0.7405903927643058,2,1,0.043478260869565216,3,8,4,1221,1010,53.08695652173913
mapswipe/mapswipe,OSS4SG,39,5,0.1282051282051282,0.8164588528678304,10,0.2564102564102564,0.8456806701195729,1,4,0.10256410256410256,12,14,3,2005,1637,51.41025641025641
public-accountability/littlesis-rails,OSS4SG,16,2,0.125,0.848145285935085,2,0.125,0.8591415507470377,1,4,0.25,4,4,6,7764,6585,485.25
betagouv/aides-jeunes,OSS4SG,64,11,0.171875,0.8147701218776396,11,0.171875,0.8052276909617473,4,6,0.09375,19,17,17,8287,6752,129.484375
medic/cht-core,OSS4SG,119,8,0.06722689075630252,0.8154712605598807,0,0.0,0.9003859950473481,2,13,0.1092436974789916,63,31,25,24148,19692,202.92436974789916
Datawheel/canon,OSS4SG,22,3,0.13636363636363635,0.8233861144945189,3,0.13636363636363635,0.8197320341047503,2,2,0.09090909090909091,8,5,6,4926,4056,223.9090909090909
betagouv/api.gouv.fr,OSS4SG,137,21,0.15328467153284672,0.804681194511703,40,0.291970802919708,0.7932894630902796,7,1,0.0072992700729927005,49,38,10,3717,2991,27.131386861313867
osm-search/Nominatim,OSS4SG,124,2,0.016129032258064516,0.8360339506172839,0,0.0,0.9480380077658304,1,4,0.03225806451612903,99,21,4,10368,8668,83.61290322580645
tidepool-org/viz,OSS4SG,24,4,0.16666666666666666,0.8200870985302123,4,0.16666666666666666,0.807929595354745,2,8,0.3333333333333333,8,5,7,3674,3013,153.08333333333334
camicroscope/caMicroscope,OSS4SG,99,12,0.12121212121212122,0.8131634819532909,27,0.2727272727272727,0.841095210521962,3,1,0.010101010101010102,43,23,6,3297,2681,33.303030303030305
OpenRefine/OpenRefine,OSS4SG,421,16,0.03800475059382423,0.8072166118234426,202,0.47980997624703087,0.8977948522925401,4,11,0.026128266033254157,169,37,13,8813,7114,20.93349168646081
enketo/enketo-express,OSS4SG,36,1,0.027777777777777776,0.8221722003376477,17,0.4722222222222222,0.926702307259426,1,1,0.027777777777777776,14,3,2,1777,1461,49.361111111111114
rubyforgood/human-essentials,OSS4SG,499,55,0.11022044088176353,0.800373939306774,190,0.3807615230460922,0.8282124438723557,8,34,0.06813627254509018,233,65,11,6953,5565,13.933867735470942
ShelterTechSF/askdarcel-api,OSS4SG,43,11,0.2558139534883721,0.8126582278481013,6,0.13953488372093023,0.6997939358257286,4,1,0.023255813953488372,23,12,2,790,642,18.372093023255815
openml/OpenML,OSS4SG,40,7,0.175,0.8113207547169812,8,0.2,0.8060248713550602,2,2,0.05,12,16,4,2332,1892,58.3
OperationCode/front-end,OSS4SG,180,9,0.05,0.807087397969341,85,0.4722222222222222,0.9045822549605149,1,1,0.005555555555555556,56,36,3,5023,4054,27.905555555555555
JustFixNYC/who-owns-what,OSS4SG,20,5,0.25,0.8370239149689991,6,0.3,0.6883525243578388,3,2,0.1,5,4,5,1129,945,56.45
enketo/enketo-core,OSS4SG,34,1,0.029411764705882353,0.8409616273693944,16,0.47058823529411764,0.9324331674417341,1,1,0.029411764705882353,12,4,2,2163,1819,63.61764705882353
dimagi/commcare-cloud,OSS4SG,130,18,0.13846153846153847,0.8111872748044644,16,0.12307692307692308,0.8363354898024025,6,19,0.14615384615384616,38,46,30,22758,18461,175.06153846153848
opendatacube/datacube-core,OSS4SG,103,9,0.08737864077669903,0.810126582278481,26,0.2524271844660194,0.8683469497892076,4,8,0.07766990291262135,42,23,12,7268,5888,70.5631067961165
Bahmni/bahmni-core,OSS4SG,178,45,0.25280898876404495,0.8015787585217079,48,0.2696629213483146,0.6864273533218033,18,1,0.0056179775280898875,69,58,3,2787,2234,15.657303370786517
wevote/WeVoteServer,OSS4SG,103,4,0.038834951456310676,0.8137269593885809,16,0.1553398058252427,0.8989566707744148,1,6,0.05825242718446602,45,38,4,6673,5430,64.7864077669903
SEED-platform/seed,OSS4SG,72,12,0.16666666666666666,0.8024366728021737,10,0.1388888888888889,0.8083031427430587,4,8,0.1111111111111111,21,19,22,11409,9155,158.45833333333334
radiantearth/stac-spec,OSS4SG,75,6,0.08,0.8128491620111732,21,0.28,0.8696296296296295,2,4,0.05333333333333334,32,18,4,3222,2619,42.96
LoopKit/LoopKit,OSS4SG,40,4,0.1,0.803003003003003,9,0.225,0.8552402402402404,2,3,0.075,22,5,4,1665,1337,41.625
NREL/EnergyPlus,OSS4SG,155,20,0.12903225806451613,0.8023801913004992,34,0.21935483870967742,0.84060888098171,8,14,0.09032258064516129,37,37,47,40669,32632,262.3806451612903
nvaccess/nvda,OSS4SG,258,8,0.031007751937984496,0.8170138607441031,92,0.35658914728682173,0.9446654137393471,3,35,0.13565891472868216,103,44,19,24676,20159,95.64341085271317
dimagi/commcare-android,OSS4SG,63,11,0.1746031746031746,0.8242966751918158,12,0.19047619047619047,0.8146591970121382,3,12,0.19047619047619047,10,20,21,15640,12892,248.25396825396825
avniproject/avni-server,OSS4SG,53,8,0.1509433962264151,0.8069958847736626,9,0.16981132075471697,0.7995496544762792,4,5,0.09433962264150944,19,16,9,4860,3922,91.69811320754717
mysociety/alaveteli,OSS4SG,95,8,0.08421052631578947,0.8040709966075028,32,0.3368421052631579,0.8970052349517779,3,3,0.031578947368421054,32,14,17,20339,16354,214.09473684210528
chaynHQ/soulmedicine,OSS4SG,22,5,0.22727272727272727,0.8754119973632168,7,0.3181818181818182,0.7536105950740097,3,1,0.045454545454545456,7,3,5,1517,1328,68.95454545454545
dimagi/commcare-hq,OSS4SG,259,26,0.10038610038610038,0.8010801080108011,37,0.14285714285714285,0.8678123248211835,9,38,0.14671814671814673,43,80,99,189981,152190,733.5173745173745
resource-watch/resource-watch,OSS4SG,43,5,0.11627906976744186,0.8110072689511942,6,0.13953488372093023,0.8494503342000264,2,2,0.046511627906976744,11,17,9,8667,7029,201.5581395348837
opencrvs/opencrvs-core,OSS4SG,109,20,0.1834862385321101,0.8104544988201497,10,0.09174311926605505,0.7770953753824983,7,25,0.22935779816513763,23,44,32,19494,15799,178.8440366972477
JustFixNYC/tenants2,OSS4SG,21,1,0.047619047619047616,0.8116797900262467,0,0.0,0.8818272715910511,1,1,0.047619047619047616,12,6,3,3048,2474,145.14285714285714
opensrp/opensrp-client-core,OSS4SG,70,16,0.22857142857142856,0.8117732558139535,10,0.14285714285714285,0.7426010520487265,5,3,0.04285714285714286,24,24,12,4128,3351,58.97142857142857
getodk/collect,OSS4SG,200,5,0.025,0.8012533572068039,80,0.4,0.9469856759176367,2,3,0.015,78,30,12,16755,13425,83.775
openstreetmap/openstreetmap-website,OSS4SG,291,9,0.030927835051546393,0.8008695652173913,120,0.41237113402061853,0.9348031276457991,2,22,0.07560137457044673,108,48,15,17250,13815,59.27835051546392
OneBusAway/onebusaway-android,OSS4SG,59,4,0.06779661016949153,0.8420458819104927,26,0.4406779661016949,0.9003894671757575,2,4,0.06779661016949153,18,10,5,2659,2239,45.067796610169495
unicef/etools,OSS4SG,54,9,0.16666666666666666,0.8164754953076121,2,0.037037037037037035,0.7856407229017586,4,7,0.12962962962962962,18,11,23,20139,16443,372.94444444444446
dhis2/dhis2-core,OSS4SG,116,19,0.16379310344827586,0.8041767987412387,26,0.22413793103448276,0.8155719915753752,7,21,0.1810344827586207,36,25,29,13982,11244,120.53448275862068
CenterForOpenScience/SHARE,OSS4SG,50,5,0.1,0.8185591461606878,12,0.24,0.865490661132523,2,3,0.06,19,13,6,3373,2761,67.46
learningequality/kolibri,OSS4SG,270,18,0.06666666666666667,0.8040842941403124,64,0.23703703703703705,0.9087183422196314,5,24,0.08888888888888889,101,69,36,33739,27129,124.95925925925926
scratchfoundation/scratch-vm,OSS4SG,85,10,0.11764705882352941,0.8214553638409603,23,0.27058823529411763,0.8691988123081191,2,3,0.03529411764705882,26,22,14,9331,7665,109.7764705882353
azavea/raster-vision,OSS4SG,43,4,0.09302325581395349,0.8361286774814407,21,0.4883720930232558,0.8899361216438286,2,1,0.023255813953488372,11,6,5,3637,3041,84.5813953488372
mysociety/fixmystreet,OSS4SG,80,8,0.1,0.818370658876988,22,0.275,0.8869563453424214,2,10,0.125,24,18,16,15405,12607,192.5625
openMF/web-app,OSS4SG,126,24,0.19047619047619047,0.8059016393442623,50,0.3968253968253968,0.7662815508717149,6,20,0.15873015873015872,48,25,3,1525,1229,12.103174603174603
openoakland/openbudgetoakland,OSS4SG,26,5,0.19230769230769232,0.857,10,0.38461538461538464,0.794153846153846,2,2,0.07692307692307693,8,5,3,1000,857,38.46153846153846
sugarlabs/turtleart-activity,OSS4SG,56,2,0.03571428571428571,0.8775358733300347,17,0.30357142857142855,0.9308245564430622,1,5,0.08928571428571429,24,13,2,4042,3547,72.17857142857143
unep-grid/mapx,OSS4SG,17,1,0.058823529411764705,0.9490297542043985,4,0.23529411764705882,0.9192298911802754,1,1,0.058823529411764705,6,6,1,3865,3668,227.35294117647058
5calls/ios,OSS4SG,36,7,0.19444444444444445,0.804755944931164,6,0.16666666666666666,0.7557711027673482,2,3,0.08333333333333333,18,10,2,799,643,22.194444444444443
kobotoolbox/kobocat,OSS4SG,93,13,0.13978494623655913,0.8019628801865708,13,0.13978494623655913,0.8171228017382346,5,4,0.043010752688172046,29,31,20,10291,8253,110.65591397849462
mosip/commons,OSS4SG,295,79,0.2677966101694915,0.8003823820988528,36,0.12203389830508475,0.6981562605767178,28,1,0.003389830508474576,65,112,82,28244,22606,95.74237288135593
openstates/openstates-scrapers,OSS4SG,240,15,0.0625,0.8091861327400816,0,0.0,0.9030728587319243,5,5,0.020833333333333332,126,78,36,43152,34918,179.8
code4romania/seismic-risc,OSS4SG,50,11,0.22,0.8046875,17,0.34,0.741015625,3,4,0.08,26,6,1,512,412,10.24
catalyst-cooperative/pudl,OSS4SG,61,9,0.14754098360655737,0.8016490208938443,12,0.19672131147540983,0.8317878882364416,2,13,0.21311475409836064,14,20,15,10673,8556,174.9672131147541
digidem/mapeo-desktop,OSS4SG,26,5,0.19230769230769232,0.8893740902474527,7,0.2692307692307692,0.7988467136938753,2,2,0.07692307692307693,11,3,5,1374,1222,52.84615384615385
openMF/mifos-mobile,OSS4SG,155,27,0.17419354838709677,0.8027043638598648,64,0.4129032258064516,0.7662787239526538,7,10,0.06451612903225806,62,26,3,1627,1306,10.496774193548386
ushahidi/platform,OSS4SG,94,10,0.10638297872340426,0.8156440022111664,27,0.2872340425531915,0.8763658068993094,3,2,0.02127659574468085,36,17,14,7236,5902,76.97872340425532
code4romania/redirectioneaza,OSS4SG,23,5,0.21739130434782608,0.8301743745261562,5,0.21739130434782608,0.763424201470152,2,5,0.21739130434782608,7,7,4,1319,1095,57.34782608695652
rapidpro/ureport,OSS4SG,41,2,0.04878048780487805,0.840725365960236,8,0.1951219512195122,0.9188785923253595,1,3,0.07317073170731707,20,9,4,4577,3848,111.63414634146342
WildMeOrg/Wildbook,OSS4SG,79,11,0.13924050632911392,0.815250513783573,7,0.08860759493670886,0.8169046681420096,4,9,0.11392405063291139,21,34,17,14111,11504,178.62025316455697
farmOS/farmOS,OSS4SG,57,1,0.017543859649122806,0.8187014174668495,30,0.5263157894736842,0.9640138297274965,1,2,0.03508771929824561,20,4,3,8748,7162,153.47368421052633
openmrs/openmrs-contrib-android-client,OSS4SG,110,19,0.17272727272727273,0.8135719612229679,49,0.44545454545454544,0.7647820486746661,7,2,0.01818181818181818,37,21,3,1341,1091,12.190909090909091
scratchfoundation/scratch-gui,OSS4SG,112,10,0.08928571428571429,0.8101816516562357,32,0.2857142857142857,0.885362376518307,3,3,0.026785714285714284,36,28,16,13102,10615,116.98214285714286
radicallyopensecurity/pentext,OSS4SG,17,3,0.17647058823529413,0.8436516264428122,1,0.058823529411764705,0.7797049564841676,1,3,0.17647058823529413,7,7,2,953,804,56.05882352941177
OpenLMIS/openlmis-ref-distro,OSS4SG,73,25,0.3424657534246575,0.8093065693430657,10,0.136986301369863,0.6182881711828816,9,1,0.0136986301369863,35,27,1,1096,887,15.013698630136986
marytts/marytts,OSS4SG,72,6,0.08333333333333333,0.8213472917614929,31,0.4305555555555556,0.8855826126536186,2,2,0.027777777777777776,22,12,7,4394,3609,61.02777777777778
Terrastories/terrastories,OSS4SG,111,29,0.26126126126126126,0.8008171603677222,35,0.3153153153153153,0.6986721144024515,6,3,0.02702702702702703,57,17,2,979,784,8.81981981981982
tidepool-org/blip,OSS4SG,56,6,0.10714285714285714,0.8000170125893161,12,0.21428571428571427,0.8577079181451417,3,6,0.10714285714285714,13,20,11,11756,9405,209.92857142857142
OpenUpSA/pmg-cms-2,OSS4SG,29,8,0.27586206896551724,0.8271983640081799,2,0.06896551724137931,0.695437557294972,3,4,0.13793103448275862,3,14,10,3912,3236,134.89655172413794
h5p/h5p-interactive-video,OSS4SG,100,10,0.1,0.8098106712564543,45,0.45,0.8518072289156626,4,9,0.09,36,12,7,2324,1882,23.24
ClimateWatch-Vizzuality/climate-watch,OSS4SG,50,12,0.24,0.8180251965112523,1,0.02,0.7128308388069344,5,2,0.04,9,24,16,9287,7597,185.74
wri/gfw,OSS4SG,118,19,0.16101694915254236,0.8124460431654676,17,0.1440677966101695,0.8203664187294233,5,3,0.025423728813559324,31,34,36,27800,22586,235.59322033898306
VOLTTRON/volttron,OSS4SG,151,18,0.11920529801324503,0.8043940467753367,30,0.1986754966887417,0.8445773745547049,7,5,0.033112582781456956,69,28,24,11288,9080,74.75496688741723
Recidiviz/pulse-data,OSS4SG,155,36,0.23225806451612904,0.8033711097048841,28,0.18064516129032257,0.7326045283397016,15,53,0.3419354838709677,42,36,49,17383,13965,112.14838709677419
Growstuff/growstuff,OSS4SG,117,7,0.05982905982905983,0.8182789000622942,29,0.24786324786324787,0.9082236719506454,3,2,0.017094017094017096,54,22,12,11237,9195,96.04273504273505
mapswipe/python-mapswipe-workers,OSS4SG,48,13,0.2708333333333333,0.8070796460176991,5,0.10416666666666667,0.6998279252704032,4,8,0.16666666666666666,11,25,7,3390,2736,70.625
OADA/server,OSS4SG,17,3,0.17647058823529413,0.8339719029374202,2,0.11764705882352941,0.7986627601232064,1,2,0.11764705882352941,4,7,4,1566,1306,92.11764705882354
sozialhelden/accessibility-cloud,OSS4SG,19,3,0.15789473684210525,0.8051441932969603,4,0.21052631578947367,0.8143742051934202,1,1,0.05263157894736842,7,6,2,1283,1033,67.52631578947368
rightoneducation/righton-app,OSS4SG,35,5,0.14285714285714285,0.8083198852429622,0,0.0,0.8285560593252903,1,4,0.11428571428571428,6,18,11,11154,9016,318.6857142857143
osm2pgsql-dev/osm2pgsql,OSS4SG,102,5,0.049019607843137254,0.8141497187364777,39,0.38235294117647056,0.9102332408515115,2,3,0.029411764705882353,40,16,7,4622,3763,45.31372549019608
primeroIMS/primero,OSS4SG,248,13,0.05241935483870968,0.8060182139270751,40,0.16129032258064516,0.9095487679963896,4,4,0.016129032258064516,112,69,27,28879,23277,116.4475806451613
ifmeorg/ifme,OSS4SG,401,64,0.1596009975062344,0.8011680382267056,161,0.4014962593516209,0.7893380432645491,5,5,0.012468827930174564,188,48,4,3767,3018,9.394014962593516
sozialhelden/wheelmap-frontend,OSS4SG,25,3,0.12,0.8320186970493719,0,0.0,0.8548758399065146,1,2,0.08,10,9,6,6846,5696,273.84
NREL/OpenStudio-server,OSS4SG,42,7,0.16666666666666666,0.8079434167573449,5,0.11904761904761904,0.808686114997323,3,3,0.07142857142857142,16,10,11,5514,4455,131.28571428571428
avniproject/avni-client,OSS4SG,50,8,0.16,0.8018456375838926,12,0.24,0.7888657718120806,4,4,0.08,10,15,13,5960,4779,119.2
RefugeRestrooms/refugerestrooms,OSS4SG,84,18,0.21428571428571427,0.8011272141706924,21,0.25,0.7285867648186488,6,1,0.011904761904761904,41,19,3,1242,995,14.785714285714286
jembi/openhim-core-js,OSS4SG,68,14,0.20588235294117646,0.8107247146270241,10,0.14705882352941177,0.7503669638813848,5,5,0.07352941176470588,24,22,12,3767,3054,55.39705882352941
publiclab/plots2,OSS4SG,1209,96,0.0794044665012407,0.8,953,0.7882547559966915,0.7981016450693872,6,5,0.0041356492969396195,202,45,9,6750,5400,5.583126550868486
CenterForOpenScience/osf.io,OSS4SG,229,21,0.09170305676855896,0.8013552132573647,36,0.1572052401746725,0.8759655637411974,8,13,0.056768558951965066,76,65,52,55637,44585,242.95633187772927
open-contracting/standard,OSS4SG,43,7,0.16279069767441862,0.835920177383592,9,0.20930232558139536,0.8217283441333356,3,2,0.046511627906976744,14,12,8,4059,3393,94.3953488372093
OpenEnergyDashboard/OED,OSS4SG,305,44,0.14426229508196722,0.8016553355010346,73,0.23934426229508196,0.8087098947001159,9,9,0.029508196721311476,149,70,13,6766,5424,22.18360655737705
kobotoolbox/kpi,OSS4SG,71,12,0.16901408450704225,0.8106242978655112,13,0.18309859154929578,0.8024122911114577,5,19,0.2676056338028169,17,15,26,18693,15153,263.28169014084506
OptiKey/OptiKey,OSS4SG,84,5,0.05952380952380952,0.8228346456692913,20,0.23809523809523808,0.8883202099737533,2,2,0.023809523809523808,38,21,5,3810,3135,45.357142857142854
openfoodfoundation/openfoodnetwork,OSS4SG,312,19,0.060897435897435896,0.8147656940760389,87,0.27884615384615385,0.9092449008894632,8,15,0.04807692307692308,134,57,34,33930,27645,108.75
ctt-gob-es/clienteafirma,OSS4SG,35,4,0.11428571428571428,0.8252551020408163,8,0.22857142857142856,0.8593132491091675,2,2,0.05714285714285714,13,6,8,7056,5823,201.6
WattTime/pyiso,OSS4SG,18,4,0.2222222222222222,0.8165503489531406,5,0.2777777777777778,0.7479228979727484,2,1,0.05555555555555555,4,6,3,1003,819,55.72222222222222
ShelterTechSF/askdarcel-web,OSS4SG,67,11,0.16417910447761194,0.803755299818292,16,0.23880597014925373,0.7837674136886734,4,3,0.04477611940298507,30,16,5,1651,1327,24.64179104477612
sugarlabs/sugar,OSS4SG,154,12,0.07792207792207792,0.813251503006012,59,0.38311688311688313,0.8966862296020612,3,5,0.032467532467532464,57,25,13,7984,6493,51.84415584415584
