project_name,type,source,verification_method
wiredtiger/wiredtiger,OSS,verified_original,systematic_filtering_by_researchers
uxsolutions/bootstrap-datepicker,OSS,verified_original,systematic_filtering_by_researchers
NSFI/ppfish-components,OSS,verified_original,systematic_filtering_by_researchers
sammchardy/python-binance,OSS,verified_original,systematic_filtering_by_researchers
bitcoinbook/bitcoinbook,OSS,verified_original,systematic_filtering_by_researchers
EbookFoundation/free-programming-books,OSS,verified_original,systematic_filtering_by_researchers
thoughtbot/factory_bot,OSS,verified_original,systematic_filtering_by_researchers
heroku/heroku-buildpack-ruby,OSS,verified_original,systematic_filtering_by_researchers
jakubgarfield/Bonobo-Git-Server,OSS,verified_original,systematic_filtering_by_researchers
BlackArch/blackarch,OSS,verified_original,systematic_filtering_by_researchers
phiamo/MopaBootstrapBundle,OSS,verified_original,systematic_filtering_by_researchers
zostera/django-bootstrap3,OSS,verified_original,systematic_filtering_by_researchers
RoaringBitmap/RoaringBitmap,OSS,verified_original,systematic_filtering_by_researchers
buefy/buefy,OSS,verified_original,systematic_filtering_by_researchers
vlachoudis/bCNC,OSS,verified_original,systematic_filtering_by_researchers
twbs/bootstrap-sass,OSS,verified_original,systematic_filtering_by_researchers
aws/s2n-tls,OSS,verified_original,systematic_filtering_by_researchers
felangel/bloc,OSS,verified_original,systematic_filtering_by_researchers
exercism/website-copy,OSS,verified_original,systematic_filtering_by_researchers
marionettejs/backbone.marionette,OSS,verified_original,systematic_filtering_by_researchers
StanzaOrg/lbstanza,OSS,verified_original,systematic_filtering_by_researchers
psf/black,OSS,verified_original,systematic_filtering_by_researchers
astaxie/build-web-application-with-golang,OSS,verified_original,systematic_filtering_by_researchers
Homebrew/brew,OSS,verified_original,systematic_filtering_by_researchers
axiomatic-systems/Bento4,OSS,verified_original,systematic_filtering_by_researchers
async-labs/builderbook,OSS,verified_original,systematic_filtering_by_researchers
BlueWallet/BlueWallet,OSS,verified_original,systematic_filtering_by_researchers
rappasoft/laravel-boilerplate,OSS,verified_original,systematic_filtering_by_researchers
thomaspark/bootswatch,OSS,verified_original,systematic_filtering_by_researchers
s3tools/s3cmd,OSS,verified_original,systematic_filtering_by_researchers
baconjs/bacon.js,OSS,verified_original,systematic_filtering_by_researchers
wenzhixin/bootstrap-table-examples,OSS,verified_original,systematic_filtering_by_researchers
bqplot/bqplot,OSS,verified_original,systematic_filtering_by_researchers
bazelbuild/bazel,OSS,verified_original,systematic_filtering_by_researchers
confluentinc/confluent-kafka-python,OSS,verified_original,systematic_filtering_by_researchers
openfarmcc/OpenFarm,OSS4SG,verified_original,systematic_filtering_by_researchers
openfoodfacts/openfoodfacts-androidapp,OSS4SG,verified_original,systematic_filtering_by_researchers
electricitymaps/electricitymaps-contrib,OSS4SG,verified_original,systematic_filtering_by_researchers
onaio/onadata,OSS4SG,verified_original,systematic_filtering_by_researchers
opendatateam/udata,OSS4SG,verified_original,systematic_filtering_by_researchers
nordic-institute/X-Road,OSS4SG,verified_original,systematic_filtering_by_researchers
sugarlabs/musicblocks,OSS4SG,verified_original,systematic_filtering_by_researchers
odoo/odoo,OSS4SG,verified_original,systematic_filtering_by_researchers
openMF/android-client,OSS4SG,verified_original,systematic_filtering_by_researchers
consuldemocracy/consuldemocracy,OSS4SG,verified_original,systematic_filtering_by_researchers
tidepool-org/uploader,OSS4SG,verified_original,systematic_filtering_by_researchers
cboard-org/cboard,OSS4SG,verified_original,systematic_filtering_by_researchers
instedd/planwise,OSS4SG,verified_original,systematic_filtering_by_researchers
radiantearth/stac-browser,OSS4SG,verified_original,systematic_filtering_by_researchers
openMF/community-app,OSS4SG,verified_original,systematic_filtering_by_researchers
hotosm/tasking-manager,OSS4SG,verified_original,systematic_filtering_by_researchers
iHRIS/iHRIS,OSS4SG,verified_original,systematic_filtering_by_researchers
GFDRR/thinkhazard,OSS4SG,verified_original,systematic_filtering_by_researchers
MuckRock/muckrock,OSS4SG,verified_original,systematic_filtering_by_researchers
muzima/muzima-android,OSS4SG,verified_original,systematic_filtering_by_researchers
PecanProject/pecan,OSS4SG,verified_original,systematic_filtering_by_researchers
OpenSourcePolitics/decidim,OSS4SG,verified_original,systematic_filtering_by_researchers
llaske/sugarizer,OSS4SG,verified_original,systematic_filtering_by_researchers
liberapay/liberapay.com,OSS4SG,verified_original,systematic_filtering_by_researchers
HTBox/MobileKidsIdApp,OSS4SG,verified_original,systematic_filtering_by_researchers
openmrs/openmrs-core,OSS4SG,verified_original,systematic_filtering_by_researchers
insight-lane/crash-model,OSS4SG,verified_original,systematic_filtering_by_researchers
SFDigitalServices/sf-dahlia-web,OSS4SG,verified_original,systematic_filtering_by_researchers
usetania/tania-core,OSS4SG,verified_original,systematic_filtering_by_researchers
mapswipe/mapswipe,OSS4SG,verified_original,systematic_filtering_by_researchers
public-accountability/littlesis-rails,OSS4SG,verified_original,systematic_filtering_by_researchers
betagouv/aides-jeunes,OSS4SG,verified_original,systematic_filtering_by_researchers
medic/cht-core,OSS4SG,verified_original,systematic_filtering_by_researchers
Datawheel/canon,OSS4SG,verified_original,systematic_filtering_by_researchers
betagouv/api.gouv.fr,OSS4SG,verified_original,systematic_filtering_by_researchers
osm-search/Nominatim,OSS4SG,verified_original,systematic_filtering_by_researchers
tidepool-org/viz,OSS4SG,verified_original,systematic_filtering_by_researchers
camicroscope/caMicroscope,OSS4SG,verified_original,systematic_filtering_by_researchers
OpenRefine/OpenRefine,OSS4SG,verified_original,systematic_filtering_by_researchers
enketo/enketo-express,OSS4SG,verified_original,systematic_filtering_by_researchers
rubyforgood/human-essentials,OSS4SG,verified_original,systematic_filtering_by_researchers
ShelterTechSF/askdarcel-api,OSS4SG,verified_original,systematic_filtering_by_researchers
openml/OpenML,OSS4SG,verified_original,systematic_filtering_by_researchers
OperationCode/front-end,OSS4SG,verified_original,systematic_filtering_by_researchers
JustFixNYC/who-owns-what,OSS4SG,verified_original,systematic_filtering_by_researchers
enketo/enketo-core,OSS4SG,verified_original,systematic_filtering_by_researchers
dimagi/commcare-cloud,OSS4SG,verified_original,systematic_filtering_by_researchers
opendatacube/datacube-core,OSS4SG,verified_original,systematic_filtering_by_researchers
Bahmni/bahmni-core,OSS4SG,verified_original,systematic_filtering_by_researchers
wevote/WeVoteServer,OSS4SG,verified_original,systematic_filtering_by_researchers
SEED-platform/seed,OSS4SG,verified_original,systematic_filtering_by_researchers
radiantearth/stac-spec,OSS4SG,verified_original,systematic_filtering_by_researchers
LoopKit/LoopKit,OSS4SG,verified_original,systematic_filtering_by_researchers
NREL/EnergyPlus,OSS4SG,verified_original,systematic_filtering_by_researchers
nvaccess/nvda,OSS4SG,verified_original,systematic_filtering_by_researchers
dimagi/commcare-android,OSS4SG,verified_original,systematic_filtering_by_researchers
avniproject/avni-server,OSS4SG,verified_original,systematic_filtering_by_researchers
mysociety/alaveteli,OSS4SG,verified_original,systematic_filtering_by_researchers
chaynHQ/soulmedicine,OSS4SG,verified_original,systematic_filtering_by_researchers
dimagi/commcare-hq,OSS4SG,verified_original,systematic_filtering_by_researchers
resource-watch/resource-watch,OSS4SG,verified_original,systematic_filtering_by_researchers
opencrvs/opencrvs-core,OSS4SG,verified_original,systematic_filtering_by_researchers
JustFixNYC/tenants2,OSS4SG,verified_original,systematic_filtering_by_researchers
openfisca/openfisca-france,OSS4SG,verified_original,systematic_filtering_by_researchers
opensrp/opensrp-client-core,OSS4SG,verified_original,systematic_filtering_by_researchers
getodk/collect,OSS4SG,verified_original,systematic_filtering_by_researchers
openstreetmap/openstreetmap-website,OSS4SG,verified_original,systematic_filtering_by_researchers
moodle/moodle,OSS4SG,verified_original,systematic_filtering_by_researchers
OneBusAway/onebusaway-android,OSS4SG,verified_original,systematic_filtering_by_researchers
unicef/etools,OSS4SG,verified_original,systematic_filtering_by_researchers
dhis2/dhis2-core,OSS4SG,verified_original,systematic_filtering_by_researchers
CenterForOpenScience/SHARE,OSS4SG,verified_original,systematic_filtering_by_researchers
learningequality/kolibri,OSS4SG,verified_original,systematic_filtering_by_researchers
scratchfoundation/scratch-vm,OSS4SG,verified_original,systematic_filtering_by_researchers
azavea/raster-vision,OSS4SG,verified_original,systematic_filtering_by_researchers
mysociety/fixmystreet,OSS4SG,verified_original,systematic_filtering_by_researchers
openMF/web-app,OSS4SG,verified_original,systematic_filtering_by_researchers
openoakland/openbudgetoakland,OSS4SG,verified_original,systematic_filtering_by_researchers
sugarlabs/turtleart-activity,OSS4SG,verified_original,systematic_filtering_by_researchers
unep-grid/mapx,OSS4SG,verified_original,systematic_filtering_by_researchers
5calls/ios,OSS4SG,verified_original,systematic_filtering_by_researchers
kobotoolbox/kobocat,OSS4SG,verified_original,systematic_filtering_by_researchers
mosip/commons,OSS4SG,verified_original,systematic_filtering_by_researchers
openstates/openstates-scrapers,OSS4SG,verified_original,systematic_filtering_by_researchers
code4romania/seismic-risc,OSS4SG,verified_original,systematic_filtering_by_researchers
catalyst-cooperative/pudl,OSS4SG,verified_original,systematic_filtering_by_researchers
digidem/mapeo-desktop,OSS4SG,verified_original,systematic_filtering_by_researchers
openMF/mifos-mobile,OSS4SG,verified_original,systematic_filtering_by_researchers
ushahidi/platform,OSS4SG,verified_original,systematic_filtering_by_researchers
code4romania/redirectioneaza,OSS4SG,verified_original,systematic_filtering_by_researchers
rapidpro/ureport,OSS4SG,verified_original,systematic_filtering_by_researchers
WildMeOrg/Wildbook,OSS4SG,verified_original,systematic_filtering_by_researchers
farmOS/farmOS,OSS4SG,verified_original,systematic_filtering_by_researchers
openmrs/openmrs-contrib-android-client,OSS4SG,verified_original,systematic_filtering_by_researchers
scratchfoundation/scratch-gui,OSS4SG,verified_original,systematic_filtering_by_researchers
radicallyopensecurity/pentext,OSS4SG,verified_original,systematic_filtering_by_researchers
OpenLMIS/openlmis-ref-distro,OSS4SG,verified_original,systematic_filtering_by_researchers
marytts/marytts,OSS4SG,verified_original,systematic_filtering_by_researchers
Terrastories/terrastories,OSS4SG,verified_original,systematic_filtering_by_researchers
tidepool-org/blip,OSS4SG,verified_original,systematic_filtering_by_researchers
OpenUpSA/pmg-cms-2,OSS4SG,verified_original,systematic_filtering_by_researchers
h5p/h5p-interactive-video,OSS4SG,verified_original,systematic_filtering_by_researchers
ClimateWatch-Vizzuality/climate-watch,OSS4SG,verified_original,systematic_filtering_by_researchers
wri/gfw,OSS4SG,verified_original,systematic_filtering_by_researchers
VOLTTRON/volttron,OSS4SG,verified_original,systematic_filtering_by_researchers
Recidiviz/pulse-data,OSS4SG,verified_original,systematic_filtering_by_researchers
Growstuff/growstuff,OSS4SG,verified_original,systematic_filtering_by_researchers
mapswipe/python-mapswipe-workers,OSS4SG,verified_original,systematic_filtering_by_researchers
OADA/server,OSS4SG,verified_original,systematic_filtering_by_researchers
scratchfoundation/scratch-blocks,OSS4SG,verified_original,systematic_filtering_by_researchers
sozialhelden/accessibility-cloud,OSS4SG,verified_original,systematic_filtering_by_researchers
rightoneducation/righton-app,OSS4SG,verified_original,systematic_filtering_by_researchers
osm2pgsql-dev/osm2pgsql,OSS4SG,verified_original,systematic_filtering_by_researchers
primeroIMS/primero,OSS4SG,verified_original,systematic_filtering_by_researchers
ifmeorg/ifme,OSS4SG,verified_original,systematic_filtering_by_researchers
sozialhelden/wheelmap-frontend,OSS4SG,verified_original,systematic_filtering_by_researchers
NREL/OpenStudio-server,OSS4SG,verified_original,systematic_filtering_by_researchers
avniproject/avni-client,OSS4SG,verified_original,systematic_filtering_by_researchers
RefugeRestrooms/refugerestrooms,OSS4SG,verified_original,systematic_filtering_by_researchers
jembi/openhim-core-js,OSS4SG,verified_original,systematic_filtering_by_researchers
publiclab/plots2,OSS4SG,verified_original,systematic_filtering_by_researchers
CenterForOpenScience/osf.io,OSS4SG,verified_original,systematic_filtering_by_researchers
open-contracting/standard,OSS4SG,verified_original,systematic_filtering_by_researchers
OpenEnergyDashboard/OED,OSS4SG,verified_original,systematic_filtering_by_researchers
kobotoolbox/kpi,OSS4SG,verified_original,systematic_filtering_by_researchers
OptiKey/OptiKey,OSS4SG,verified_original,systematic_filtering_by_researchers
openfoodfoundation/openfoodnetwork,OSS4SG,verified_original,systematic_filtering_by_researchers
ctt-gob-es/clienteafirma,OSS4SG,verified_original,systematic_filtering_by_researchers
WattTime/pyiso,OSS4SG,verified_original,systematic_filtering_by_researchers
ShelterTechSF/askdarcel-web,OSS4SG,verified_original,systematic_filtering_by_researchers
sugarlabs/sugar,OSS4SG,verified_original,systematic_filtering_by_researchers
instedd/surveda,OSS4SG,verified_original,systematic_filtering_by_researchers
apache/fineract,OSS4SG,verified_original,systematic_filtering_by_researchers
openstreetmap/iD,OSS4SG,verified_original,systematic_filtering_by_researchers
inasafe/inasafe,OSS4SG,verified_original,systematic_filtering_by_researchers
owid/owid-grapher,OSS4SG,verified_original,systematic_filtering_by_researchers
Flowminder/FlowKit,OSS4SG,verified_original,systematic_filtering_by_researchers
synthetichealth/synthea,OSS4SG,verified_original,systematic_filtering_by_researchers
tidepool-org/platform,OSS4SG,verified_original,systematic_filtering_by_researchers
Intelehealth/intelehealth-fhw-mobileapp,OSS4SG,verified_original,systematic_filtering_by_researchers
magma/magma,OSS4SG,verified_original,systematic_filtering_by_researchers
rapidpro/rapidpro,OSS4SG,verified_original,systematic_filtering_by_researchers
code-dot-org/blockly,OSS4SG,verified_original,systematic_filtering_by_researchers
tidepool-org/tideline,OSS4SG,verified_original,systematic_filtering_by_researchers
huridocs/uwazi,OSS4SG,verified_original,systematic_filtering_by_researchers
OperationCode/resources_api,OSS4SG,verified_original,systematic_filtering_by_researchers
demarches-simplifiees/demarches-simplifiees.fr,OSS4SG,verified_original,systematic_filtering_by_researchers
ConservationInternational/trends.earth,OSS4SG,verified_original,systematic_filtering_by_researchers
healthsites/healthsites,OSS4SG,verified_original,systematic_filtering_by_researchers
foodcoops/foodsoft,OSS4SG,verified_original,systematic_filtering_by_researchers
oppia/oppia,OSS4SG,verified_original,systematic_filtering_by_researchers
instedd/verboice,OSS4SG,verified_original,systematic_filtering_by_researchers
okfde/froide,OSS4SG,verified_original,systematic_filtering_by_researchers
coralproject/talk,OSS4SG,verified_original,systematic_filtering_by_researchers
Sunbird-Obsrv/sunbird-data-pipeline,OSS4SG,verified_original,systematic_filtering_by_researchers
scratchfoundation/scratch-www,OSS4SG,verified_original,systematic_filtering_by_researchers
OpenBankProject/OBP-API,OSS4SG,verified_original,systematic_filtering_by_researchers
code-dot-org/code-dot-org,OSS4SG,verified_original,systematic_filtering_by_researchers
WorldHealthOrganization/app,OSS4SG,verified_original,systematic_filtering_by_researchers
PopulateTools/gobierto,OSS4SG,verified_original,systematic_filtering_by_researchers
openfoodfacts/openfoodfacts-server,OSS4SG,verified_original,systematic_filtering_by_researchers
openml/openml-python,OSS4SG,verified_original,systematic_filtering_by_researchers
SORMAS-Foundation/SORMAS-Project,OSS4SG,verified_original,systematic_filtering_by_researchers
GeoNode/geonode,OSS4SG,verified_original,systematic_filtering_by_researchers
openMF/mobile-wallet,OSS4SG,verified_original,systematic_filtering_by_researchers
tidepool-org/tidepool-org.github.io,OSS4SG,verified_original,systematic_filtering_by_researchers
osm-search/Nominatim,OSS4SG,verified_original,systematic_filtering_by_researchers
openlawlibrary/taf,OSS4SG,verified_original,systematic_filtering_by_researchers
tidepool-org/uploader,OSS4SG,verified_original,systematic_filtering_by_researchers
etalab/covid19-dashboard,OSS4SG,verified_original,systematic_filtering_by_researchers
kobotoolbox/kobo-docker,OSS4SG,verified_original,systematic_filtering_by_researchers
SFDigitalServices/sf-dahlia-web,OSS4SG,verified_original,systematic_filtering_by_researchers
wevote/WebApp,OSS4SG,verified_original,systematic_filtering_by_researchers
nextstrain/ncov,OSS4SG,verified_original,systematic_filtering_by_researchers
XLSForm/pyxform,OSS4SG,verified_original,systematic_filtering_by_researchers
hotosm/learnosm,OSS4SG,verified_original,systematic_filtering_by_researchers
okfn/opendatahandbook,OSS4SG,verified_original,systematic_filtering_by_researchers
disease-sh/API,OSS4SG,verified_original,systematic_filtering_by_researchers
rightoneducation/righton-app,OSS4SG,verified_original,systematic_filtering_by_researchers
openstates/openstates-scrapers,OSS4SG,verified_original,systematic_filtering_by_researchers
reach4help/reach4help,OSS4SG,verified_original,systematic_filtering_by_researchers
hotosm/hotosm-website,OSS4SG,verified_original,systematic_filtering_by_researchers
openstreetmap/osmosis,OSS4SG,verified_original,systematic_filtering_by_researchers
github/covid19-dashboard,OSS4SG,verified_original,systematic_filtering_by_researchers
medic/cht-core,OSS4SG,verified_original,systematic_filtering_by_researchers
sozialhelden/wheelmap-frontend,OSS4SG,verified_original,systematic_filtering_by_researchers
dhis2/app-platform,OSS4SG,verified_original,systematic_filtering_by_researchers
pcm-dpc/COVID-19,OSS4SG,verified_original,systematic_filtering_by_researchers
nextstrain/nextstrain.org,OSS4SG,verified_original,systematic_filtering_by_researchers
okfde/offenerhaushalt.de,OSS4SG,verified_original,systematic_filtering_by_researchers
