project_name,type,source,verification_method
jashkenas/underscore,OSS,original_filtered,systematic_filtering_by_researchers
buildroot/buildroot,OSS,original_filtered,systematic_filtering_by_researchers
WorldBrain/Memex,OSS,original_filtered,systematic_filtering_by_researchers
scratchfoundation/scratch-blocks,OSS,original_filtered,systematic_filtering_by_researchers
Bukkit/Bukkit,OSS,original_filtered,systematic_filtering_by_researchers
google/blockly-games,OSS,original_filtered,systematic_filtering_by_researchers
wiredtiger/wiredtiger,OSS,original_filtered,systematic_filtering_by_researchers
uxsolutions/bootstrap-datepicker,OSS,original_filtered,systematic_filtering_by_researchers
NSFI/ppfish-components,OSS,original_filtered,systematic_filtering_by_researchers
sammchardy/python-binance,OSS,original_filtered,systematic_filtering_by_researchers
bitcoinbook/bitcoinbook,OSS,original_filtered,systematic_filtering_by_researchers
EbookFoundation/free-programming-books,OSS,original_filtered,systematic_filtering_by_researchers
thoughtbot/factory_bot,OSS,original_filtered,systematic_filtering_by_researchers
heroku/heroku-buildpack-ruby,OSS,original_filtered,systematic_filtering_by_researchers
jakubgarfield/Bonobo-Git-Server,OSS,original_filtered,systematic_filtering_by_researchers
BlackArch/blackarch,OSS,original_filtered,systematic_filtering_by_researchers
phiamo/MopaBootstrapBundle,OSS,original_filtered,systematic_filtering_by_researchers
zostera/django-bootstrap3,OSS,original_filtered,systematic_filtering_by_researchers
RoaringBitmap/RoaringBitmap,OSS,original_filtered,systematic_filtering_by_researchers
buefy/buefy,OSS,original_filtered,systematic_filtering_by_researchers
vlachoudis/bCNC,OSS,original_filtered,systematic_filtering_by_researchers
twbs/bootstrap-sass,OSS,original_filtered,systematic_filtering_by_researchers
aws/s2n-tls,OSS,original_filtered,systematic_filtering_by_researchers
felangel/bloc,OSS,original_filtered,systematic_filtering_by_researchers
exercism/website-copy,OSS,original_filtered,systematic_filtering_by_researchers
marionettejs/backbone.marionette,OSS,original_filtered,systematic_filtering_by_researchers
StanzaOrg/lbstanza,OSS,original_filtered,systematic_filtering_by_researchers
psf/black,OSS,original_filtered,systematic_filtering_by_researchers
astaxie/build-web-application-with-golang,OSS,original_filtered,systematic_filtering_by_researchers
Homebrew/brew,OSS,original_filtered,systematic_filtering_by_researchers
axiomatic-systems/Bento4,OSS,original_filtered,systematic_filtering_by_researchers
async-labs/builderbook,OSS,original_filtered,systematic_filtering_by_researchers
BlueWallet/BlueWallet,OSS,original_filtered,systematic_filtering_by_researchers
rappasoft/laravel-boilerplate,OSS,original_filtered,systematic_filtering_by_researchers
thomaspark/bootswatch,OSS,original_filtered,systematic_filtering_by_researchers
s3tools/s3cmd,OSS,original_filtered,systematic_filtering_by_researchers
baconjs/bacon.js,OSS,original_filtered,systematic_filtering_by_researchers
wenzhixin/bootstrap-table-examples,OSS,original_filtered,systematic_filtering_by_researchers
bqplot/bqplot,OSS,original_filtered,systematic_filtering_by_researchers
bazelbuild/bazel,OSS,original_filtered,systematic_filtering_by_researchers
confluentinc/confluent-kafka-python,OSS,original_filtered,systematic_filtering_by_researchers
sc-forks/solidity-coverage,OSS,systematic_collection,github_api_realtime
aws-actions/amazon-ecr-login,OSS,systematic_collection,github_api_realtime
postmanlabs/openapi-to-postman,OSS,systematic_collection,github_api_realtime
claudehohl/Stikked,OSS,systematic_collection,github_api_realtime
dart-lang/site-www,OSS,systematic_collection,github_api_realtime
sintaxi/harp,OSS,systematic_collection,github_api_realtime
actuallymentor/battery,OSS,systematic_collection,github_api_realtime
pablof7z/chardin.js,OSS,systematic_collection,github_api_realtime
linuxmint/cinnamon,OSS,systematic_collection,github_api_realtime
ElasticHQ/elasticsearch-HQ,OSS,systematic_collection,github_api_realtime
ampproject/amphtml,OSS,systematic_collection,github_api_realtime
riot/riot,OSS,systematic_collection,github_api_realtime
apexcharts/apexcharts.js,OSS,systematic_collection,github_api_realtime
josdejong/mathjs,OSS,systematic_collection,github_api_realtime
paperjs/paper.js,OSS,systematic_collection,github_api_realtime
chinese-poetry/chinese-poetry,OSS,systematic_collection,github_api_realtime
poteto/hiring-without-whiteboards,OSS,systematic_collection,github_api_realtime
agalwood/Motrix,OSS,systematic_collection,github_api_realtime
NARKOZ/hacker-scripts,OSS,systematic_collection,github_api_realtime
moment/moment,OSS,systematic_collection,github_api_realtime
facebook/react,OSS,systematic_collection,github_api_realtime
trekhleb/javascript-algorithms,OSS,systematic_collection,github_api_realtime
Chalarangelo/30-seconds-of-code,OSS,systematic_collection,github_api_realtime
nodejs/node,OSS,systematic_collection,github_api_realtime
mrdoob/three.js,OSS,systematic_collection,github_api_realtime
alexanderjeurissen/ranger_devicons,OSS,systematic_collection,github_api_realtime
jonrau1/ElectricEye,OSS,systematic_collection,github_api_realtime
python-hyper/h2,OSS,systematic_collection,github_api_realtime
unitedstates/congress,OSS,systematic_collection,github_api_realtime
paul-nameless/tg,OSS,systematic_collection,github_api_realtime
landing-ai/vision-agent,OSS,systematic_collection,github_api_realtime
commonmark/commonmark-spec,OSS,systematic_collection,github_api_realtime
lyst/lightfm,OSS,systematic_collection,github_api_realtime
awslabs/gluonts,OSS,systematic_collection,github_api_realtime
wger-project/wger,OSS,systematic_collection,github_api_realtime
smicallef/spiderfoot,OSS,systematic_collection,github_api_realtime
chidiwilliams/buzz,OSS,systematic_collection,github_api_realtime
marimo-team/marimo,OSS,systematic_collection,github_api_realtime
ActivityWatch/activitywatch,OSS,systematic_collection,github_api_realtime
lra/mackup,OSS,systematic_collection,github_api_realtime
RVC-Boss/GPT-SoVITS,OSS,systematic_collection,github_api_realtime
microsoft/autogen,OSS,systematic_collection,github_api_realtime
Asabeneh/30-Days-Of-Python,OSS,systematic_collection,github_api_realtime
charlax/professional-programming,OSS,systematic_collection,github_api_realtime
minimaxir/big-list-of-naughty-strings,OSS,systematic_collection,github_api_realtime
public-apis/public-apis,OSS,systematic_collection,github_api_realtime
vinta/awesome-python,OSS,systematic_collection,github_api_realtime
TheAlgorithms/Python,OSS,systematic_collection,github_api_realtime
Significant-Gravitas/AutoGPT,OSS,systematic_collection,github_api_realtime
AUTOMATIC1111/stable-diffusion-webui,OSS,systematic_collection,github_api_realtime
MCreator/MCreator,OSS,systematic_collection,github_api_realtime
sylvainhalle/textidote,OSS,systematic_collection,github_api_realtime
togglz/togglz,OSS,systematic_collection,github_api_realtime
apache/mina-sshd,OSS,systematic_collection,github_api_realtime
antlr/stringtemplate4,OSS,systematic_collection,github_api_realtime
jindrapetrik/jpexs-decompiler,OSS,systematic_collection,github_api_realtime
jankotek/mapdb,OSS,systematic_collection,github_api_realtime
killbill/killbill,OSS,systematic_collection,github_api_realtime
JodaOrg/joda-time,OSS,systematic_collection,github_api_realtime
react-native-linear-gradient/react-native-linear-gradient,OSS,systematic_collection,github_api_realtime
neo4j/neo4j,OSS,systematic_collection,github_api_realtime
quarkusio/quarkus,OSS,systematic_collection,github_api_realtime
apache/pulsar,OSS,systematic_collection,github_api_realtime
elastic/logstash,OSS,systematic_collection,github_api_realtime
hdodenhof/CircleImageView,OSS,systematic_collection,github_api_realtime
ReactiveX/RxJava,OSS,systematic_collection,github_api_realtime
skylot/jadx,OSS,systematic_collection,github_api_realtime
dbeaver/dbeaver,OSS,systematic_collection,github_api_realtime
termux/termux-app,OSS,systematic_collection,github_api_realtime
jeecgboot/JeecgBoot,OSS,systematic_collection,github_api_realtime
Snailclimb/JavaGuide,OSS,systematic_collection,github_api_realtime
doocs/advanced-java,OSS,systematic_collection,github_api_realtime
spring-projects/spring-boot,OSS,systematic_collection,github_api_realtime
MisterBooo/LeetCodeAnimation,OSS,systematic_collection,github_api_realtime
elastic/elasticsearch,OSS,systematic_collection,github_api_realtime
planetscale/vtprotobuf,OSS,systematic_collection,github_api_realtime
projectdiscovery/tlsx,OSS,systematic_collection,github_api_realtime
trpc-group/trpc-go,OSS,systematic_collection,github_api_realtime
tinkerbell/tink,OSS,systematic_collection,github_api_realtime
juruen/rmapi,OSS,systematic_collection,github_api_realtime
trustwallet/assets,OSS,systematic_collection,github_api_realtime
travisjeffery/jocko,OSS,systematic_collection,github_api_realtime
kubernetes-sigs/descheduler,OSS,systematic_collection,github_api_realtime
KubeOperator/KubeOperator,OSS,systematic_collection,github_api_realtime
vugu/vugu,OSS,systematic_collection,github_api_realtime
Genymobile/scrcpy,OSS,systematic_collection,github_api_realtime
netdata/netdata,OSS,systematic_collection,github_api_realtime
redis/redis,OSS,systematic_collection,github_api_realtime
ventoy/Ventoy,OSS,systematic_collection,github_api_realtime
obsproject/obs-studio,OSS,systematic_collection,github_api_realtime
avelino/awesome-go,OSS,systematic_collection,github_api_realtime
ollama/ollama,OSS,systematic_collection,github_api_realtime
golang/go,OSS,systematic_collection,github_api_realtime
kubernetes/kubernetes,OSS,systematic_collection,github_api_realtime
fatedier/frp,OSS,systematic_collection,github_api_realtime
openfarmcc/OpenFarm,OSS4SG,original_filtered,systematic_filtering_by_researchers
openfoodfacts/openfoodfacts-androidapp,OSS4SG,original_filtered,systematic_filtering_by_researchers
electricitymaps/electricitymaps-contrib,OSS4SG,original_filtered,systematic_filtering_by_researchers
onaio/onadata,OSS4SG,original_filtered,systematic_filtering_by_researchers
opendatateam/udata,OSS4SG,original_filtered,systematic_filtering_by_researchers
nordic-institute/X-Road,OSS4SG,original_filtered,systematic_filtering_by_researchers
sugarlabs/musicblocks,OSS4SG,original_filtered,systematic_filtering_by_researchers
odoo/odoo,OSS4SG,original_filtered,systematic_filtering_by_researchers
openMF/android-client,OSS4SG,original_filtered,systematic_filtering_by_researchers
consuldemocracy/consuldemocracy,OSS4SG,original_filtered,systematic_filtering_by_researchers
tidepool-org/uploader,OSS4SG,original_filtered,systematic_filtering_by_researchers
cboard-org/cboard,OSS4SG,original_filtered,systematic_filtering_by_researchers
instedd/planwise,OSS4SG,original_filtered,systematic_filtering_by_researchers
radiantearth/stac-browser,OSS4SG,original_filtered,systematic_filtering_by_researchers
openMF/community-app,OSS4SG,original_filtered,systematic_filtering_by_researchers
hotosm/tasking-manager,OSS4SG,original_filtered,systematic_filtering_by_researchers
iHRIS/iHRIS,OSS4SG,original_filtered,systematic_filtering_by_researchers
GFDRR/thinkhazard,OSS4SG,original_filtered,systematic_filtering_by_researchers
MuckRock/muckrock,OSS4SG,original_filtered,systematic_filtering_by_researchers
muzima/muzima-android,OSS4SG,original_filtered,systematic_filtering_by_researchers
PecanProject/pecan,OSS4SG,original_filtered,systematic_filtering_by_researchers
OpenSourcePolitics/decidim,OSS4SG,original_filtered,systematic_filtering_by_researchers
llaske/sugarizer,OSS4SG,original_filtered,systematic_filtering_by_researchers
liberapay/liberapay.com,OSS4SG,original_filtered,systematic_filtering_by_researchers
HTBox/MobileKidsIdApp,OSS4SG,original_filtered,systematic_filtering_by_researchers
openmrs/openmrs-core,OSS4SG,original_filtered,systematic_filtering_by_researchers
insight-lane/crash-model,OSS4SG,original_filtered,systematic_filtering_by_researchers
SFDigitalServices/sf-dahlia-web,OSS4SG,original_filtered,systematic_filtering_by_researchers
usetania/tania-core,OSS4SG,original_filtered,systematic_filtering_by_researchers
mapswipe/mapswipe,OSS4SG,original_filtered,systematic_filtering_by_researchers
public-accountability/littlesis-rails,OSS4SG,original_filtered,systematic_filtering_by_researchers
betagouv/aides-jeunes,OSS4SG,original_filtered,systematic_filtering_by_researchers
medic/cht-core,OSS4SG,original_filtered,systematic_filtering_by_researchers
Datawheel/canon,OSS4SG,original_filtered,systematic_filtering_by_researchers
betagouv/api.gouv.fr,OSS4SG,original_filtered,systematic_filtering_by_researchers
osm-search/Nominatim,OSS4SG,original_filtered,systematic_filtering_by_researchers
tidepool-org/viz,OSS4SG,original_filtered,systematic_filtering_by_researchers
camicroscope/caMicroscope,OSS4SG,original_filtered,systematic_filtering_by_researchers
OpenRefine/OpenRefine,OSS4SG,original_filtered,systematic_filtering_by_researchers
enketo/enketo-express,OSS4SG,original_filtered,systematic_filtering_by_researchers
rubyforgood/human-essentials,OSS4SG,original_filtered,systematic_filtering_by_researchers
ShelterTechSF/askdarcel-api,OSS4SG,original_filtered,systematic_filtering_by_researchers
openml/OpenML,OSS4SG,original_filtered,systematic_filtering_by_researchers
OperationCode/front-end,OSS4SG,original_filtered,systematic_filtering_by_researchers
JustFixNYC/who-owns-what,OSS4SG,original_filtered,systematic_filtering_by_researchers
enketo/enketo-core,OSS4SG,original_filtered,systematic_filtering_by_researchers
dimagi/commcare-cloud,OSS4SG,original_filtered,systematic_filtering_by_researchers
opendatacube/datacube-core,OSS4SG,original_filtered,systematic_filtering_by_researchers
Bahmni/bahmni-core,OSS4SG,original_filtered,systematic_filtering_by_researchers
wevote/WeVoteServer,OSS4SG,original_filtered,systematic_filtering_by_researchers
SEED-platform/seed,OSS4SG,original_filtered,systematic_filtering_by_researchers
radiantearth/stac-spec,OSS4SG,original_filtered,systematic_filtering_by_researchers
LoopKit/LoopKit,OSS4SG,original_filtered,systematic_filtering_by_researchers
NREL/EnergyPlus,OSS4SG,original_filtered,systematic_filtering_by_researchers
nvaccess/nvda,OSS4SG,original_filtered,systematic_filtering_by_researchers
dimagi/commcare-android,OSS4SG,original_filtered,systematic_filtering_by_researchers
avniproject/avni-server,OSS4SG,original_filtered,systematic_filtering_by_researchers
mysociety/alaveteli,OSS4SG,original_filtered,systematic_filtering_by_researchers
chaynHQ/soulmedicine,OSS4SG,original_filtered,systematic_filtering_by_researchers
dimagi/commcare-hq,OSS4SG,original_filtered,systematic_filtering_by_researchers
resource-watch/resource-watch,OSS4SG,original_filtered,systematic_filtering_by_researchers
opencrvs/opencrvs-core,OSS4SG,original_filtered,systematic_filtering_by_researchers
JustFixNYC/tenants2,OSS4SG,original_filtered,systematic_filtering_by_researchers
openfisca/openfisca-france,OSS4SG,original_filtered,systematic_filtering_by_researchers
opensrp/opensrp-client-core,OSS4SG,original_filtered,systematic_filtering_by_researchers
getodk/collect,OSS4SG,original_filtered,systematic_filtering_by_researchers
openstreetmap/openstreetmap-website,OSS4SG,original_filtered,systematic_filtering_by_researchers
moodle/moodle,OSS4SG,original_filtered,systematic_filtering_by_researchers
OneBusAway/onebusaway-android,OSS4SG,original_filtered,systematic_filtering_by_researchers
unicef/etools,OSS4SG,original_filtered,systematic_filtering_by_researchers
dhis2/dhis2-core,OSS4SG,original_filtered,systematic_filtering_by_researchers
CenterForOpenScience/SHARE,OSS4SG,original_filtered,systematic_filtering_by_researchers
learningequality/kolibri,OSS4SG,original_filtered,systematic_filtering_by_researchers
scratchfoundation/scratch-vm,OSS4SG,original_filtered,systematic_filtering_by_researchers
azavea/raster-vision,OSS4SG,original_filtered,systematic_filtering_by_researchers
mysociety/fixmystreet,OSS4SG,original_filtered,systematic_filtering_by_researchers
openMF/web-app,OSS4SG,original_filtered,systematic_filtering_by_researchers
openoakland/openbudgetoakland,OSS4SG,original_filtered,systematic_filtering_by_researchers
sugarlabs/turtleart-activity,OSS4SG,original_filtered,systematic_filtering_by_researchers
unep-grid/mapx,OSS4SG,original_filtered,systematic_filtering_by_researchers
5calls/ios,OSS4SG,original_filtered,systematic_filtering_by_researchers
kobotoolbox/kobocat,OSS4SG,original_filtered,systematic_filtering_by_researchers
mosip/commons,OSS4SG,original_filtered,systematic_filtering_by_researchers
openstates/openstates-scrapers,OSS4SG,original_filtered,systematic_filtering_by_researchers
code4romania/seismic-risc,OSS4SG,original_filtered,systematic_filtering_by_researchers
catalyst-cooperative/pudl,OSS4SG,original_filtered,systematic_filtering_by_researchers
digidem/mapeo-desktop,OSS4SG,original_filtered,systematic_filtering_by_researchers
openMF/mifos-mobile,OSS4SG,original_filtered,systematic_filtering_by_researchers
ushahidi/platform,OSS4SG,original_filtered,systematic_filtering_by_researchers
code4romania/redirectioneaza,OSS4SG,original_filtered,systematic_filtering_by_researchers
rapidpro/ureport,OSS4SG,original_filtered,systematic_filtering_by_researchers
WildMeOrg/Wildbook,OSS4SG,original_filtered,systematic_filtering_by_researchers
farmOS/farmOS,OSS4SG,original_filtered,systematic_filtering_by_researchers
openmrs/openmrs-contrib-android-client,OSS4SG,original_filtered,systematic_filtering_by_researchers
scratchfoundation/scratch-gui,OSS4SG,original_filtered,systematic_filtering_by_researchers
radicallyopensecurity/pentext,OSS4SG,original_filtered,systematic_filtering_by_researchers
OpenLMIS/openlmis-ref-distro,OSS4SG,original_filtered,systematic_filtering_by_researchers
marytts/marytts,OSS4SG,original_filtered,systematic_filtering_by_researchers
Terrastories/terrastories,OSS4SG,original_filtered,systematic_filtering_by_researchers
tidepool-org/blip,OSS4SG,original_filtered,systematic_filtering_by_researchers
OpenUpSA/pmg-cms-2,OSS4SG,original_filtered,systematic_filtering_by_researchers
h5p/h5p-interactive-video,OSS4SG,original_filtered,systematic_filtering_by_researchers
ClimateWatch-Vizzuality/climate-watch,OSS4SG,original_filtered,systematic_filtering_by_researchers
wri/gfw,OSS4SG,original_filtered,systematic_filtering_by_researchers
VOLTTRON/volttron,OSS4SG,original_filtered,systematic_filtering_by_researchers
Recidiviz/pulse-data,OSS4SG,original_filtered,systematic_filtering_by_researchers
Growstuff/growstuff,OSS4SG,original_filtered,systematic_filtering_by_researchers
mapswipe/python-mapswipe-workers,OSS4SG,original_filtered,systematic_filtering_by_researchers
OADA/server,OSS4SG,original_filtered,systematic_filtering_by_researchers
scratchfoundation/scratch-blocks,OSS4SG,original_filtered,systematic_filtering_by_researchers
sozialhelden/accessibility-cloud,OSS4SG,original_filtered,systematic_filtering_by_researchers
rightoneducation/righton-app,OSS4SG,original_filtered,systematic_filtering_by_researchers
osm2pgsql-dev/osm2pgsql,OSS4SG,original_filtered,systematic_filtering_by_researchers
primeroIMS/primero,OSS4SG,original_filtered,systematic_filtering_by_researchers
ifmeorg/ifme,OSS4SG,original_filtered,systematic_filtering_by_researchers
sozialhelden/wheelmap-frontend,OSS4SG,original_filtered,systematic_filtering_by_researchers
NREL/OpenStudio-server,OSS4SG,original_filtered,systematic_filtering_by_researchers
avniproject/avni-client,OSS4SG,original_filtered,systematic_filtering_by_researchers
RefugeRestrooms/refugerestrooms,OSS4SG,original_filtered,systematic_filtering_by_researchers
jembi/openhim-core-js,OSS4SG,original_filtered,systematic_filtering_by_researchers
publiclab/plots2,OSS4SG,original_filtered,systematic_filtering_by_researchers
CenterForOpenScience/osf.io,OSS4SG,original_filtered,systematic_filtering_by_researchers
open-contracting/standard,OSS4SG,original_filtered,systematic_filtering_by_researchers
OpenEnergyDashboard/OED,OSS4SG,original_filtered,systematic_filtering_by_researchers
kobotoolbox/kpi,OSS4SG,original_filtered,systematic_filtering_by_researchers
OptiKey/OptiKey,OSS4SG,original_filtered,systematic_filtering_by_researchers
openfoodfoundation/openfoodnetwork,OSS4SG,original_filtered,systematic_filtering_by_researchers
ctt-gob-es/clienteafirma,OSS4SG,original_filtered,systematic_filtering_by_researchers
WattTime/pyiso,OSS4SG,original_filtered,systematic_filtering_by_researchers
ShelterTechSF/askdarcel-web,OSS4SG,original_filtered,systematic_filtering_by_researchers
sugarlabs/sugar,OSS4SG,original_filtered,systematic_filtering_by_researchers
instedd/surveda,OSS4SG,original_filtered,systematic_filtering_by_researchers
apache/fineract,OSS4SG,original_filtered,systematic_filtering_by_researchers
openstreetmap/iD,OSS4SG,original_filtered,systematic_filtering_by_researchers
inasafe/inasafe,OSS4SG,original_filtered,systematic_filtering_by_researchers
owid/owid-grapher,OSS4SG,original_filtered,systematic_filtering_by_researchers
Flowminder/FlowKit,OSS4SG,original_filtered,systematic_filtering_by_researchers
synthetichealth/synthea,OSS4SG,original_filtered,systematic_filtering_by_researchers
tidepool-org/platform,OSS4SG,original_filtered,systematic_filtering_by_researchers
Intelehealth/intelehealth-fhw-mobileapp,OSS4SG,original_filtered,systematic_filtering_by_researchers
magma/magma,OSS4SG,original_filtered,systematic_filtering_by_researchers
rapidpro/rapidpro,OSS4SG,original_filtered,systematic_filtering_by_researchers
code-dot-org/blockly,OSS4SG,original_filtered,systematic_filtering_by_researchers
tidepool-org/tideline,OSS4SG,original_filtered,systematic_filtering_by_researchers
huridocs/uwazi,OSS4SG,original_filtered,systematic_filtering_by_researchers
OperationCode/resources_api,OSS4SG,original_filtered,systematic_filtering_by_researchers
demarches-simplifiees/demarches-simplifiees.fr,OSS4SG,original_filtered,systematic_filtering_by_researchers
ConservationInternational/trends.earth,OSS4SG,original_filtered,systematic_filtering_by_researchers
healthsites/healthsites,OSS4SG,original_filtered,systematic_filtering_by_researchers
foodcoops/foodsoft,OSS4SG,original_filtered,systematic_filtering_by_researchers
oppia/oppia,OSS4SG,original_filtered,systematic_filtering_by_researchers
instedd/verboice,OSS4SG,original_filtered,systematic_filtering_by_researchers
okfde/froide,OSS4SG,original_filtered,systematic_filtering_by_researchers
coralproject/talk,OSS4SG,original_filtered,systematic_filtering_by_researchers
Sunbird-Obsrv/sunbird-data-pipeline,OSS4SG,original_filtered,systematic_filtering_by_researchers
scratchfoundation/scratch-www,OSS4SG,original_filtered,systematic_filtering_by_researchers
OpenBankProject/OBP-API,OSS4SG,original_filtered,systematic_filtering_by_researchers
code-dot-org/code-dot-org,OSS4SG,original_filtered,systematic_filtering_by_researchers
WorldHealthOrganization/app,OSS4SG,original_filtered,systematic_filtering_by_researchers
PopulateTools/gobierto,OSS4SG,original_filtered,systematic_filtering_by_researchers
openfoodfacts/openfoodfacts-server,OSS4SG,original_filtered,systematic_filtering_by_researchers
openml/openml-python,OSS4SG,original_filtered,systematic_filtering_by_researchers
SORMAS-Foundation/SORMAS-Project,OSS4SG,original_filtered,systematic_filtering_by_researchers
GeoNode/geonode,OSS4SG,original_filtered,systematic_filtering_by_researchers
openMF/mobile-wallet,OSS4SG,original_filtered,systematic_filtering_by_researchers
tidepool-org/tidepool-org.github.io,OSS4SG,original_filtered,systematic_filtering_by_researchers
osm-search/Nominatim,OSS4SG,original_filtered,systematic_filtering_by_researchers
openlawlibrary/taf,OSS4SG,original_filtered,systematic_filtering_by_researchers
tidepool-org/uploader,OSS4SG,original_filtered,systematic_filtering_by_researchers
etalab/covid19-dashboard,OSS4SG,original_filtered,systematic_filtering_by_researchers
kobotoolbox/kobo-docker,OSS4SG,original_filtered,systematic_filtering_by_researchers
SFDigitalServices/sf-dahlia-web,OSS4SG,original_filtered,systematic_filtering_by_researchers
wevote/WebApp,OSS4SG,original_filtered,systematic_filtering_by_researchers
nextstrain/ncov,OSS4SG,original_filtered,systematic_filtering_by_researchers
XLSForm/pyxform,OSS4SG,original_filtered,systematic_filtering_by_researchers
hotosm/learnosm,OSS4SG,original_filtered,systematic_filtering_by_researchers
okfn/opendatahandbook,OSS4SG,original_filtered,systematic_filtering_by_researchers
disease-sh/API,OSS4SG,original_filtered,systematic_filtering_by_researchers
rightoneducation/righton-app,OSS4SG,original_filtered,systematic_filtering_by_researchers
openstates/openstates-scrapers,OSS4SG,original_filtered,systematic_filtering_by_researchers
reach4help/reach4help,OSS4SG,original_filtered,systematic_filtering_by_researchers
hotosm/hotosm-website,OSS4SG,original_filtered,systematic_filtering_by_researchers
openstreetmap/osmosis,OSS4SG,original_filtered,systematic_filtering_by_researchers
github/covid19-dashboard,OSS4SG,original_filtered,systematic_filtering_by_researchers
medic/cht-core,OSS4SG,original_filtered,systematic_filtering_by_researchers
sozialhelden/wheelmap-frontend,OSS4SG,original_filtered,systematic_filtering_by_researchers
dhis2/app-platform,OSS4SG,original_filtered,systematic_filtering_by_researchers
pcm-dpc/COVID-19,OSS4SG,original_filtered,systematic_filtering_by_researchers
nextstrain/nextstrain.org,OSS4SG,original_filtered,systematic_filtering_by_researchers
okfde/offenerhaushalt.de,OSS4SG,original_filtered,systematic_filtering_by_researchers
